census_tract,GEOID,income_group_code,income_group,cra_level,nLoans1,nLoans100k,nLoans250k,nLoansToSmallest,nLoansTotal,nWorkingLoans,amtLoans1_adj,amtLoans100k_adj,amtLoans250k_adj,amtLoansToSmallest_adj,amtLoansTotal_adj,amtWorkingLoans_adj,Total number of jobs,Number of jobs for workers age 29 or younger,Number of jobs for workers age 30 to 54,Number of jobs for workers age 55 or older,Number of jobs with earnings $1250/month or less,Number of jobs with earnings $1251/month to $3333/month,Number of jobs with earnings greater than $3333/month,"Number of jobs in NAICS sector 11 (Agriculture, Forestry, Fishing and Hunting)","Number of jobs in NAICS sector 21 (Mining, Quarrying, and Oil and Gas Extraction)",Number of jobs in NAICS sector 22 (Utilities),Number of jobs in NAICS sector 23 (Construction),Number of jobs in NAICS sector 31-33 (Manufacturing),Number of jobs in NAICS sector 42 (Wholesale Trade),Number of jobs in NAICS sector 44-45 (Retail Trade),Number of jobs in NAICS sector 48-49 (Transportation and Warehousing),Number of jobs in NAICS sector 51 (Information),Number of jobs in NAICS sector 52 (Finance and Insurance),Number of jobs in NAICS sector 53 (Real Estate and Rental and Leasing),"Number of jobs in NAICS sector 54 (Professional, Scientific, and Technical Services)",Number of jobs in NAICS sector 55 (Management of Companies and Enterprises),Number of jobs in NAICS sector 56 (Administrative and Support and Waste Management and Remediation Services),Number of jobs in NAICS sector 61 (Educational Services),Number of jobs in NAICS sector 62 (Health Care and Social Assistance),"Number of jobs in NAICS sector 71 (Arts, Entertainment, and Recreation)",Number of jobs in NAICS sector 72 (Accommodation and Food Services),Number of jobs in NAICS sector 81 (Other Services [except Public Administration]),Number of jobs in NAICS sector 92 (Public Administration),"Number of jobs for workers with Race: White, Alone",Number of jobs for workers with Race: Black or African American Alone,Number of jobs for workers with Race: American Indian or Alaska Native Alone,Number of jobs for workers with Race: Asian Alone,Number of jobs for workers with Race: Native Hawaiian or Other Pacific Islander Alone,Number of jobs for workers with Race: Two or More Race Groups,Number of jobs for workers with Ethnicity: Not Hispanic or Latino,Number of jobs for workers with Ethnicity: Hispanic or Latino,Number of jobs for workers with Educational Attainment: Less than high school,"Number of jobs for workers with Educational Attainment: High school or equivalent, no college",Number of jobs for workers with Educational Attainment: Some college or Associate degree,Number of jobs for workers with Educational Attainment: Bachelor's degree or advanced degree,Number of jobs for workers with Sex: Male,Number of jobs for workers with Sex: Female,Number of jobs for workers at firms with Firm Age: 0-1 Years,Number of jobs for workers at firms with Firm Age: 2-3 Years,Number of jobs for workers at firms with Firm Age: 4-5 Years,Number of jobs for workers at firms with Firm Age: 6-10 Years,Number of jobs for workers at firms with Firm Age: 11+ Years,Number of jobs for workers at firms with Firm Size: 0-19 Employees,Number of jobs for workers at firms with Firm Size: 20-49 Employees,Number of jobs for workers at firms with Firm Size: 50-249 Employees,Number of jobs for workers at firms with Firm Size: 250-499 Employees,Number of jobs for workers at firms with Firm Size: 500+ Employees,nWorkingLoans_per_sbjob2015,amtWorkingLoans_per_sbjob2015_adj
103.0,14000US24510010300,7,60% to 70% of MFI,moderate,207,4,6,121,217,118.0,2420955.218445623,892415.0925119782,2797214.473390198,3539612.3372399868,6110584.784347799,5149042.067142783,280.0,109.0,124.0,47.0,115.0,111.0,54.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,2.0,33.0,0.0,11.0,0.0,147.0,0.0,0.0,0.0,52.0,17.0,0.0,159.0,110.0,0.0,10.0,0.0,1.0,268.0,12.0,30.0,51.0,51.0,39.0,149.0,131.0,32.0,27.0,0.0,12.0,209.0,76.0,53.0,8.0,2.0,141.0,1.5526315789473684,67750.55351503662
104.0,14000US24510010400,13,> 120% of MFI,upper,787,31,37,402,855,855.0,11733821.51990956,6825797.062714732,20160466.810743004,18105747.705032516,38720085.39336729,38720085.39336729,2095.0,743.0,1044.0,308.0,509.0,640.0,946.0,0.0,0.0,0.0,37.0,142.0,67.0,402.0,7.0,322.0,31.0,45.0,211.0,0.0,27.0,10.0,63.0,85.0,559.0,87.0,0.0,1614.0,351.0,10.0,99.0,2.0,19.0,2003.0,92.0,176.0,346.0,413.0,417.0,1108.0,987.0,134.0,64.0,212.0,90.0,1595.0,643.0,224.0,303.0,12.0,913.0,1.3297045101088647,60217.862198082876
104.0,14000US24510010400,13,> 120% of MFI,upper,787,31,37,402,855,855.0,11733821.51990956,6825797.062714732,20160466.810743004,18105747.705032516,38720085.39336729,38720085.39336729,2095.0,743.0,1044.0,308.0,509.0,640.0,946.0,0.0,0.0,0.0,37.0,142.0,67.0,402.0,7.0,322.0,31.0,45.0,211.0,0.0,27.0,10.0,63.0,85.0,559.0,87.0,0.0,1614.0,351.0,10.0,99.0,2.0,19.0,2003.0,92.0,176.0,346.0,413.0,417.0,1108.0,987.0,134.0,64.0,212.0,90.0,1595.0,643.0,224.0,303.0,12.0,913.0,1.3297045101088647,60217.862198082876
104.0,14000US24510010400,13,> 120% of MFI,upper,787,31,37,402,855,855.0,11733821.51990956,6825797.062714732,20160466.810743004,18105747.705032516,38720085.39336729,38720085.39336729,2095.0,743.0,1044.0,308.0,509.0,640.0,946.0,0.0,0.0,0.0,37.0,142.0,67.0,402.0,7.0,322.0,31.0,45.0,211.0,0.0,27.0,10.0,63.0,85.0,559.0,87.0,0.0,1614.0,351.0,10.0,99.0,2.0,19.0,2003.0,92.0,176.0,346.0,413.0,417.0,1108.0,987.0,134.0,64.0,212.0,90.0,1595.0,643.0,224.0,303.0,12.0,913.0,1.3297045101088647,60217.862198082876
104.0,14000US24510010400,13,> 120% of MFI,upper,787,31,37,402,855,855.0,11733821.51990956,6825797.062714732,20160466.810743004,18105747.705032516,38720085.39336729,38720085.39336729,2095.0,743.0,1044.0,308.0,509.0,640.0,946.0,0.0,0.0,0.0,37.0,142.0,67.0,402.0,7.0,322.0,31.0,45.0,211.0,0.0,27.0,10.0,63.0,85.0,559.0,87.0,0.0,1614.0,351.0,10.0,99.0,2.0,19.0,2003.0,92.0,176.0,346.0,413.0,417.0,1108.0,987.0,134.0,64.0,212.0,90.0,1595.0,643.0,224.0,303.0,12.0,913.0,1.3297045101088647,60217.862198082876
104.0,14000US24510010400,13,> 120% of MFI,upper,787,31,37,402,855,855.0,11733821.51990956,6825797.062714732,20160466.810743004,18105747.705032516,38720085.39336729,38720085.39336729,2095.0,743.0,1044.0,308.0,509.0,640.0,946.0,0.0,0.0,0.0,37.0,142.0,67.0,402.0,7.0,322.0,31.0,45.0,211.0,0.0,27.0,10.0,63.0,85.0,559.0,87.0,0.0,1614.0,351.0,10.0,99.0,2.0,19.0,2003.0,92.0,176.0,346.0,413.0,417.0,1108.0,987.0,134.0,64.0,212.0,90.0,1595.0,643.0,224.0,303.0,12.0,913.0,1.3297045101088647,60217.862198082876
104.0,14000US24510010400,13,> 120% of MFI,upper,787,31,37,402,855,855.0,11733821.51990956,6825797.062714732,20160466.810743004,18105747.705032516,38720085.39336729,38720085.39336729,2095.0,743.0,1044.0,308.0,509.0,640.0,946.0,0.0,0.0,0.0,37.0,142.0,67.0,402.0,7.0,322.0,31.0,45.0,211.0,0.0,27.0,10.0,63.0,85.0,559.0,87.0,0.0,1614.0,351.0,10.0,99.0,2.0,19.0,2003.0,92.0,176.0,346.0,413.0,417.0,1108.0,987.0,134.0,64.0,212.0,90.0,1595.0,643.0,224.0,303.0,12.0,913.0,1.3297045101088647,60217.862198082876
104.0,14000US24510010400,8,70% to 80% of MFI,moderate,787,31,37,402,855,855.0,11733821.51990956,6825797.062714732,20160466.810743004,18105747.705032516,38720085.39336729,38720085.39336729,2095.0,743.0,1044.0,308.0,509.0,640.0,946.0,0.0,0.0,0.0,37.0,142.0,67.0,402.0,7.0,322.0,31.0,45.0,211.0,0.0,27.0,10.0,63.0,85.0,559.0,87.0,0.0,1614.0,351.0,10.0,99.0,2.0,19.0,2003.0,92.0,176.0,346.0,413.0,417.0,1108.0,987.0,134.0,64.0,212.0,90.0,1595.0,643.0,224.0,303.0,12.0,913.0,1.3297045101088647,60217.862198082876
105.0,14000US24510010500,12,110% to 120% of MFI,middle,155,3,2,89,160,160.0,2177630.360870746,535684.421254557,814781.8120723086,1424330.952835887,3528096.5941976123,3528096.5941976123,83.0,21.0,50.0,12.0,28.0,22.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0,23.0,0.0,3.0,1.0,3.0,0.0,38.0,9.0,0.0,74.0,3.0,0.0,5.0,0.0,1.0,75.0,8.0,9.0,19.0,15.0,19.0,47.0,36.0,22.0,3.0,23.0,17.0,18.0,53.0,21.0,3.0,0.0,6.0,3.018867924528302,66567.86026787947
105.0,14000US24510010500,13,> 120% of MFI,upper,155,3,2,89,160,160.0,2177630.360870746,535684.421254557,814781.8120723086,1424330.952835887,3528096.5941976123,3528096.5941976123,83.0,21.0,50.0,12.0,28.0,22.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0,23.0,0.0,3.0,1.0,3.0,0.0,38.0,9.0,0.0,74.0,3.0,0.0,5.0,0.0,1.0,75.0,8.0,9.0,19.0,15.0,19.0,47.0,36.0,22.0,3.0,23.0,17.0,18.0,53.0,21.0,3.0,0.0,6.0,3.018867924528302,66567.86026787947
