Workplace Census Block Code ,Total number of jobs,Number of jobs for workers age 29 or younger,Number of jobs for workers age 30 to 54,Number of jobs for workers age 55 or older,Number of jobs with earnings $1250/month or less,Number of jobs with earnings $1251/month to $3333/month,Number of jobs with earnings greater than $3333/month,"Number of jobs in NAICS sector 11 (Agriculture, Forestry, Fishing and Hunting)","Number of jobs in NAICS sector 21 (Mining, Quarrying, and Oil and Gas Extraction)",Number of jobs in NAICS sector 22 (Utilities),Number of jobs in NAICS sector 23 (Construction),Number of jobs in NAICS sector 31-33 (Manufacturing),Number of jobs in NAICS sector 42 (Wholesale Trade),Number of jobs in NAICS sector 44-45 (Retail Trade),Number of jobs in NAICS sector 48-49 (Transportation and Warehousing),Number of jobs in NAICS sector 51 (Information),Number of jobs in NAICS sector 52 (Finance and Insurance),Number of jobs in NAICS sector 53 (Real Estate and Rental and Leasing),"Number of jobs in NAICS sector 54 (Professional, Scientific, and Technical Services)",Number of jobs in NAICS sector 55 (Management of Companies and Enterprises),Number of jobs in NAICS sector 56 (Administrative and Support and Waste Management and Remediation Services),Number of jobs in NAICS sector 61 (Educational Services),Number of jobs in NAICS sector 62 (Health Care and Social Assistance),"Number of jobs in NAICS sector 71 (Arts, Entertainment, and Recreation)",Number of jobs in NAICS sector 72 (Accommodation and Food Services),Number of jobs in NAICS sector 81 (Other Services [except Public Administration]),Number of jobs in NAICS sector 92 (Public Administration),"Number of jobs for workers with Race: White, Alone",Number of jobs for workers with Race: Black or African American Alone,Number of jobs for workers with Race: American Indian or Alaska Native Alone,Number of jobs for workers with Race: Asian Alone,Number of jobs for workers with Race: Native Hawaiian or Other Pacific Islander Alone,Number of jobs for workers with Race: Two or More Race Groups,Number of jobs for workers with Ethnicity: Not Hispanic or Latino,Number of jobs for workers with Ethnicity: Hispanic or Latino,Number of jobs for workers with Educational Attainment: Less than high school,"Number of jobs for workers with Educational Attainment: High school or equivalent, no college",Number of jobs for workers with Educational Attainment: Some college or Associate degree,Number of jobs for workers with Educational Attainment: Bachelor's degree or advanced degree,Number of jobs for workers with Sex: Male,Number of jobs for workers with Sex: Female,Number of jobs for workers at firms with Firm Age: 0-1 Years,Number of jobs for workers at firms with Firm Age: 2-3 Years,Number of jobs for workers at firms with Firm Age: 4-5 Years,Number of jobs for workers at firms with Firm Age: 6-10 Years,Number of jobs for workers at firms with Firm Age: 11+ Years,Number of jobs for workers at firms with Firm Size: 0-19 Employees,Number of jobs for workers at firms with Firm Size: 20-49 Employees,Number of jobs for workers at firms with Firm Size: 50-249 Employees,Number of jobs for workers at firms with Firm Size: 250-499 Employees,Number of jobs for workers at firms with Firm Size: 500+ Employees,Year
245101504002015,19,8,11,0,1,16,2,0,0,0,0,0,0,4,0,0,0,0,15,0,0,0,0,0,0,0,0,1,14,0,4,0,0,19,0,1,3,5,2,2,17,0,0,0,0,0,0,0,0,0,0,2010
245101504003000,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2010
245101504003004,41,12,22,7,24,11,6,0,0,0,0,0,1,13,0,1,2,0,1,1,2,0,0,0,3,17,0,10,27,0,3,0,1,41,0,3,8,8,10,18,23,0,0,0,0,0,0,0,0,0,0,2010
245101504003008,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2010
245101504003013,76,37,31,8,52,16,8,0,0,0,0,0,0,71,0,0,4,0,0,0,0,0,0,0,0,1,0,29,44,0,2,0,1,76,0,5,17,10,7,31,45,0,0,0,0,0,0,0,0,0,0,2010
245101504003016,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2010
245101504003018,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2010
245101504003019,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2010
245101504003025,10,2,5,3,6,3,1,0,0,0,0,0,0,1,0,2,0,0,0,0,2,0,0,0,0,5,0,2,7,0,0,0,1,10,0,1,2,4,1,4,6,0,0,0,0,0,0,0,0,0,0,2010
245101504003026,4,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,1,2,1,0,3,1,0,0,0,0,0,0,0,0,0,0,2010
245101505001002,20,3,13,4,1,1,18,0,0,0,0,18,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,17,2,0,1,0,0,20,0,0,4,9,4,19,1,0,0,0,0,0,0,0,0,0,0,2010
245101505001003,35,9,18,8,1,11,23,0,0,0,2,25,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,19,11,0,5,0,0,33,2,5,8,8,5,29,6,0,0,0,0,0,0,0,0,0,0,2010
245101505001004,91,12,60,19,2,14,75,0,0,0,2,76,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,64,18,1,4,1,3,90,1,9,30,23,17,73,18,0,0,0,0,0,0,0,0,0,0,2010
245101505001005,16,2,11,3,9,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,10,4,0,0,0,0,2,14,0,0,0,0,16,0,1,5,6,2,4,12,0,0,0,0,0,0,0,0,0,0,2010
245101505001006,3,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,2,0,0,0,0,3,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,2010
245101505001007,9,3,2,4,4,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,6,1,0,0,0,0,2,7,0,0,0,0,9,0,0,3,2,1,1,8,0,0,0,0,0,0,0,0,0,0,2010
245101505001008,12,3,8,1,1,0,11,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,1,0,6,6,0,0,0,0,12,0,1,2,1,5,9,3,0,0,0,0,0,0,0,0,0,0,2010
245101505001009,71,3,55,13,8,6,57,0,0,0,0,0,0,0,0,60,0,0,6,0,0,0,0,0,2,3,0,47,23,0,0,0,1,71,0,2,13,34,19,45,26,0,0,0,0,0,0,0,0,0,0,2010
245101505001010,117,11,72,34,12,42,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,27,81,0,9,0,0,116,1,8,20,42,36,28,89,0,0,0,0,0,0,0,0,0,0,2010
245101505001011,17,0,10,7,1,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,2,12,0,3,0,0,17,0,1,2,8,6,5,12,0,0,0,0,0,0,0,0,0,0,2010
245101505001013,2,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,2,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2010
245101505001014,50,12,29,9,32,9,9,0,0,0,1,0,2,3,0,0,0,2,1,0,4,27,10,0,0,0,0,11,39,0,0,0,0,49,1,3,5,16,14,16,34,0,0,0,0,0,0,0,0,0,0,2010
245101505001015,261,66,132,63,183,53,25,0,0,0,6,0,8,4,2,0,0,6,1,0,10,190,34,0,0,0,0,70,185,2,4,0,0,258,3,23,40,66,66,76,185,0,0,0,0,0,0,0,0,0,0,2010
245101505001018,24,4,15,5,2,9,13,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,18,0,0,0,0,5,19,0,0,0,0,23,1,0,10,9,1,5,19,0,0,0,0,0,0,0,0,0,0,2010
245101505001019,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2010
245101505002000,94,58,25,11,64,24,6,0,0,0,0,0,1,73,0,0,0,9,1,0,1,0,2,0,6,1,0,22,60,0,11,0,1,91,3,8,9,8,11,38,56,0,0,0,0,0,0,0,0,0,0,2010
245101505002001,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2010
245101505002003,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2010
245101505002004,25,5,17,3,7,8,10,0,0,0,8,2,0,0,0,5,0,0,3,1,5,0,1,0,0,0,0,17,7,0,0,0,1,25,0,3,7,5,5,13,12,0,0,0,0,0,0,0,0,0,0,2010
245101505002006,68,42,21,5,39,24,5,0,0,0,0,0,1,39,0,0,0,10,1,0,6,0,4,0,6,1,0,24,36,0,7,0,1,62,6,5,6,9,6,26,42,0,0,0,0,0,0,0,0,0,0,2010
245101505002007,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2010
245101505002008,9,5,4,0,4,4,1,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,2,0,0,2,6,1,0,0,0,8,1,1,2,0,1,4,5,0,0,0,0,0,0,0,0,0,0,2010
245101505002009,7,4,2,1,3,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,2,4,0,1,0,0,7,0,1,0,1,1,2,5,0,0,0,0,0,0,0,0,0,0,2010
245101505002010,2,2,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2010
245101505002011,78,52,20,6,51,20,7,0,0,0,0,0,1,70,0,0,0,0,0,0,0,0,7,0,0,0,0,30,44,0,2,0,2,74,4,3,10,9,4,32,46,0,0,0,0,0,0,0,0,0,0,2010
245101505002013,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2010
245101505002014,19,15,4,0,13,3,3,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,1,0,0,0,0,11,8,0,0,0,0,18,1,0,1,3,0,7,12,0,0,0,0,0,0,0,0,0,0,2010
245101505002026,3,2,1,0,2,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2010
245101505002027,10,5,5,0,7,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,9,1,1,2,1,1,4,6,0,0,0,0,0,0,0,0,0,0,2010
245101505002028,3,2,1,0,2,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,1,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2010
245101506001000,11,1,6,4,1,6,4,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,11,0,0,4,3,3,10,1,0,0,0,0,0,0,0,0,0,0,2010
245101506001002,3,0,2,1,0,2,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,3,0,1,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,2010
245101506001003,32,2,15,15,7,19,6,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,21,11,0,0,0,0,32,0,9,10,6,5,30,2,0,0,0,0,0,0,0,0,0,0,2010
245101506001008,28,7,11,10,15,11,2,0,0,0,0,0,0,1,16,0,0,0,0,0,0,1,0,0,0,10,0,4,22,0,2,0,0,28,0,5,7,7,2,7,21,0,0,0,0,0,0,0,0,0,0,2010
245101506001010,3,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,2010
245101506003000,3,0,2,1,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,3,0,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,2010
245101506004001,16,7,7,2,9,7,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,0,7,0,0,4,3,0,7,0,2,16,0,2,2,4,1,8,8,0,0,0,0,0,0,0,0,0,0,2010
245101506004002,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2010
245101506004003,5,0,5,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,1,1,3,0,4,1,0,0,0,0,0,0,0,0,0,0,2010
245101506004005,3,1,1,1,1,2,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2010
245101506004006,2,0,1,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,2010
245101506005007,32,4,18,10,13,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,2,29,0,1,0,0,30,2,5,10,11,2,5,27,0,0,0,0,0,0,0,0,0,0,2010
245101506005011,3,1,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,2010
245101506005015,4,1,0,3,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,1,0,0,3,0,0,4,0,1,1,0,1,2,2,0,0,0,0,0,0,0,0,0,0,2010
245101506005017,21,2,16,3,1,5,15,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,16,3,1,1,0,0,20,1,2,2,3,12,12,9,0,0,0,0,0,0,0,0,0,0,2010
245101506005020,89,26,45,18,32,44,13,0,0,0,0,0,0,59,1,0,7,15,2,0,0,0,0,0,2,3,0,20,62,1,5,0,1,85,4,14,29,11,9,45,44,0,0,0,0,0,0,0,0,0,0,2010
245101506005021,6,0,6,0,1,4,1,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,6,0,0,3,1,2,3,3,0,0,0,0,0,0,0,0,0,0,2010
245101507011010,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2010
245101507011011,16,3,11,2,5,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,9,7,0,0,0,0,15,1,1,5,3,4,9,7,0,0,0,0,0,0,0,0,0,0,2010
245101507011013,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,2,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2010
245101507011014,4,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,3,0,0,0,0,4,0,0,1,2,1,1,3,0,0,0,0,0,0,0,0,0,0,2010
245101507011024,4,0,3,1,1,2,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,1,0,3,2,2,0,0,0,0,0,0,0,0,0,0,2010
245101507012010,8,2,4,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,7,0,0,0,0,8,0,1,1,0,4,3,5,0,0,0,0,0,0,0,0,0,0,2010
245101507012011,11,1,8,2,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,1,10,0,0,0,0,11,0,4,2,1,3,0,11,0,0,0,0,0,0,0,0,0,0,2010
245101507013000,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2010
245101507013007,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2010
245101507013010,3,0,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,3,0,0,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,2010
245101507013011,6,6,0,0,4,1,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,5,1,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,2010
245101507023009,30,2,16,12,9,12,9,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,28,0,0,0,0,5,25,0,0,0,0,29,1,5,9,8,6,1,29,0,0,0,0,0,0,0,0,0,0,2010
245101508001003,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2010
245101508001004,3,0,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,1,0,0,0,2,1,1,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,2010
245101508001005,27,4,17,6,2,14,11,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,24,0,0,0,0,10,13,0,3,1,0,27,0,3,5,6,9,6,21,0,0,0,0,0,0,0,0,0,0,2010
245101508001006,27,6,14,7,3,21,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,25,0,0,0,0,11,13,0,3,0,0,26,1,1,6,4,10,8,19,0,0,0,0,0,0,0,0,0,0,2010
245101508001010,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2010
245101508001019,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2010
245101508002002,12,4,6,2,2,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,5,7,0,0,0,0,12,0,0,3,4,1,2,10,0,0,0,0,0,0,0,0,0,0,2010
245101508002007,5,1,4,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,4,0,0,0,0,5,0,0,0,2,2,5,0,0,0,0,0,0,0,0,0,0,0,2010
245101508002008,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,2010
245101508002013,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,3,0,0,0,0,3,0,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,2010
245101508002014,10,3,5,2,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,10,0,0,0,0,10,0,4,1,1,1,1,9,0,0,0,0,0,0,0,0,0,0,2010
245101508002016,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2010
245101508003005,7,1,5,1,5,1,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,6,1,2,0,2,2,5,2,0,0,0,0,0,0,0,0,0,0,2010
245101508003006,3,0,3,0,2,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,3,0,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,2010
245101508003018,5,0,5,0,1,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,2,0,0,5,0,0,2,1,2,2,3,0,0,0,0,0,0,0,0,0,0,2010
245101508003021,11,6,5,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,1,10,0,0,0,0,11,0,0,2,2,1,1,10,0,0,0,0,0,0,0,0,0,0,2010
245101508003022,113,29,63,21,49,39,25,0,0,0,6,0,2,0,0,0,0,3,3,0,0,0,94,0,4,1,0,22,80,1,7,0,3,110,3,14,25,26,19,34,79,0,0,0,0,0,0,0,0,0,0,2010
245101508003029,27,8,13,6,15,8,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,24,1,0,0,0,8,19,0,0,0,0,26,1,1,9,6,3,6,21,0,0,0,0,0,0,0,0,0,0,2010
245101508004009,4,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,4,0,0,2,0,1,0,4,0,0,0,0,0,0,0,0,0,0,2010
245101508004011,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2010
245101508005006,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2010
245101508006000,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2010
245101508006002,4,1,1,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,4,0,1,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,2010
245101508006009,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,2010
245101508006016,2,0,1,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2010
245101509001012,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2010
245101509001017,2,0,1,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,2010
245101509001018,2,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2010
245101509002005,5,0,4,1,2,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,5,0,1,0,2,2,5,0,0,0,0,0,0,0,0,0,0,0,2010
245101509003002,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2010
245101509003006,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2010
245101509003008,15,0,6,9,1,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,15,0,0,0,0,15,0,1,3,4,7,3,12,0,0,0,0,0,0,0,0,0,0,2010
245101510001002,2,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2010
245101510001004,5,1,2,2,4,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,5,0,0,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,2010
245101510001008,130,25,76,29,36,64,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,10,119,0,0,0,1,126,4,12,27,46,20,26,104,0,0,0,0,0,0,0,0,0,0,2010
245101510003013,3,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,3,0,0,0,0,3,0,2,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,2010
245101510003014,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2010
245101510003015,4,0,1,3,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,4,0,1,2,1,0,1,3,0,0,0,0,0,0,0,0,0,0,2010
245101510004000,8,2,5,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4,3,1,0,0,0,8,0,2,1,2,1,8,0,0,0,0,0,0,0,0,0,0,0,2010
245101510004001,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2010
245101510004005,9,2,6,1,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,8,0,0,0,1,8,1,0,3,3,1,7,2,0,0,0,0,0,0,0,0,0,0,2010
245101510005000,2,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2010
245101510005008,8,4,4,0,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,8,0,0,0,0,7,1,2,0,1,1,4,4,0,0,0,0,0,0,0,0,0,0,2010
245101510005014,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2010
245101510005015,28,14,8,6,15,10,3,0,0,0,0,0,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8,0,6,0,1,28,0,3,4,6,1,14,14,0,0,0,0,0,0,0,0,0,0,2010
