,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"Raymond James Bank, N.A. (FL)",,,,,,,,,,,,,160000.0
BURKE & HERBERT BK & TR CO (VA),,200000.0,550000.0,,200000.0,191000.0,180000.0,185000.0,,500000.0,668000.0,496000.0,157000.0
American Express Centurion Bk (UT),2000000.0,10000.0,,,,,,,,,110000.0,75000.0,157000.0
STATE BANK & TRUST (GA),,,,,,,,,,,,,125000.0
Pacific Western Bank (CA),,,,,,,,,,,,,125000.0
FIRST REPUBLIC BANK (CA),,,,,,,,,,,,,90000.0
"John Deere Financial, f.s.b. (WI)",,,,,,,,,97000.0,47000.0,39000.0,9000.0,89000.0
Pinnacle Bank (TN),,,,,,,,,,,,111000.0,56000.0
PLAINSCAPITAL BANK (TX),,,,,,,,,,,,,50000.0
COMENITY CAPITAL BANK (UT),,,,,,,,,,,,141000.0,46000.0
COMERICA BANK (MI),1390000.0,1000000.0,,,810000.0,,,,,275000.0,1655000.0,435000.0,30000.0
State Farm Bank (IL),,,,,,,,94000.0,60000.0,33000.0,50000.0,,26000.0
FIRST NATIONAL BANK OF OMAHA (NE),67000.0,49000.0,33000.0,217000.0,47000.0,366000.0,108000.0,99000.0,104000.0,159000.0,69000.0,61000.0,22000.0
EVERBANK (FL),,,,,,,,4000.0,4000.0,4000.0,75000.0,4000.0,8000.0
"HSBC BANK, NA (VA)",,,,510000.0,525000.0,,,107000.0,57000.0,,,,5000.0
