respondentID,activity_year,assessment_area_number,income_group_code,agency_code,loan_type,action_taken_type,state,county,msa,partial_county_indicator,split_county_indicator,population_classification,nLoans1,amtLoans1,nLoans100k,amtLoans100k,nLoans250k,amtLoans250k,nLoansToSmallest,amtLoansToSmallest,nLoansAff,amtLoansAff,nLoans,amtLoans,institution_name,agency,income_group,cra_level,avgSmallLoan,nWorkingLoans,amtWorkingLoans,amtLoans1_adj,amtLoans100k_adj,amtLoans250k_adj,amtLoansToSmallest_adj,amtLoans_adj,amtWorkingLoans_adj
1461,2017,,106,1,4,1,51,760,40060.0,N,N,S,3,22000,0,0,0,0,3,22000,0,0,3,22000,"CITIBANK, N.A. (NY)",OCC,,,7333.333333333333,0.0,0.0,22000.0,0.0,0.0,22000.0,22000.0,0.0
14583,2017,,101,1,4,1,51,760,40060.0,N,N,S,2,97000,0,0,2,539000,0,0,0,0,4,636000,"BMO Harris Bank, N.A. (IL)",OCC,,,48500.0,4.0,636000.0,97000.0,0.0,539000.0,0.0,636000.0,636000.0
14583,2017,,102,1,4,1,51,760,40060.0,N,N,S,1,46000,1,151000,0,0,0,0,0,0,2,197000,"BMO Harris Bank, N.A. (IL)",OCC,,,46000.0,2.0,197000.0,46000.0,151000.0,0.0,0.0,197000.0,197000.0
15576,2017,,104,1,4,1,51,760,40060.0,N,N,S,1,76000,0,0,0,0,1,76000,0,0,1,76000,STEARNS BANK N A (MN),OCC,,,76000.0,1.0,76000.0,76000.0,0.0,0.0,76000.0,76000.0,76000.0
15790,2017,,104,1,4,1,51,760,40060.0,N,N,S,1,9000,0,0,0,0,0,0,1,9000,1,9000,,OCC,,,9000.0,0.0,0.0,9000.0,0.0,0.0,0.0,9000.0,0.0
23160,2017,,101,1,4,1,51,760,40060.0,N,N,S,32,276000,0,0,0,0,14,103000,0,0,32,276000,"Chase Bank USA, NA (DE)",OCC,,,8625.0,0.0,0.0,276000.0,0.0,0.0,103000.0,276000.0,0.0
23160,2017,,102,1,4,1,51,760,40060.0,N,N,S,96,1115000,0,0,0,0,44,487000,0,0,96,1115000,"Chase Bank USA, NA (DE)",OCC,,,11614.583333333334,96.0,1115000.0,1115000.0,0.0,0.0,487000.0,1115000.0,1115000.0
23160,2017,,103,1,4,1,51,760,40060.0,N,N,S,46,471000,0,0,0,0,29,285000,0,0,46,471000,"Chase Bank USA, NA (DE)",OCC,,,10239.130434782608,46.0,471000.0,471000.0,0.0,0.0,285000.0,471000.0,471000.0
23160,2017,,104,1,4,1,51,760,40060.0,N,N,S,108,1076000,0,0,0,0,70,730000,0,0,108,1076000,"Chase Bank USA, NA (DE)",OCC,,,9962.962962962964,0.0,0.0,1076000.0,0.0,0.0,730000.0,1076000.0,0.0
23160,2017,,105,1,4,1,51,760,40060.0,N,N,S,1,30000,0,0,0,0,1,30000,0,0,1,30000,"Chase Bank USA, NA (DE)",OCC,,,30000.0,1.0,30000.0,30000.0,0.0,0.0,30000.0,30000.0,30000.0
23160,2017,,106,1,4,1,51,760,40060.0,N,N,S,7,69000,0,0,0,0,1,3000,0,0,7,69000,"Chase Bank USA, NA (DE)",OCC,,,9857.142857142857,0.0,0.0,69000.0,0.0,0.0,3000.0,69000.0,0.0
23248,2017,,101,1,4,1,51,760,40060.0,N,N,S,2,9000,0,0,0,0,1,7000,0,0,2,9000,TEXAS CAPITAL BANK (TX),OCC,,,4500.0,0.0,0.0,9000.0,0.0,0.0,7000.0,9000.0,0.0
23248,2017,,102,1,4,1,51,760,40060.0,N,N,S,10,42000,2,321000,1,549000,3,113000,0,0,13,912000,TEXAS CAPITAL BANK (TX),OCC,,,4200.0,3.0,870000.0,42000.0,321000.0,549000.0,113000.0,912000.0,870000.0
23248,2017,,104,1,4,1,51,760,40060.0,N,N,S,7,76000,0,0,0,0,1,32000,0,0,7,76000,TEXAS CAPITAL BANK (TX),OCC,,,10857.142857142857,7.0,76000.0,76000.0,0.0,0.0,32000.0,76000.0,76000.0
23253,2017,,104,1,4,1,51,760,40060.0,N,N,S,1,35000,0,0,0,0,0,0,0,0,1,35000,TCF National Bank (SD),OCC,,,35000.0,1.0,35000.0,35000.0,0.0,0.0,0.0,35000.0,35000.0
24096,2017,,104,1,4,1,51,760,40060.0,N,N,S,1,5000,0,0,0,0,0,0,0,0,1,5000,TD Bank N.A. (DE),OCC,,,5000.0,0.0,0.0,5000.0,0.0,0.0,0.0,5000.0,0.0
24522,2017,,102,1,4,1,51,760,40060.0,N,N,S,2,75000,0,0,0,0,0,0,0,0,2,75000,"HSBC BANK, NA (VA)",OCC,,,37500.0,2.0,75000.0,75000.0,0.0,0.0,0.0,75000.0,75000.0
24522,2017,,104,1,4,1,51,760,40060.0,N,N,S,0,0,0,0,1,800000,0,0,0,0,1,800000,"HSBC BANK, NA (VA)",OCC,,,,,0.0,0.0,0.0,800000.0,0.0,800000.0,0.0
24571,2017,,101,1,4,1,51,760,40060.0,N,N,S,1,37000,0,0,0,0,1,37000,0,0,1,37000,"Citizens Bank, NA (RI)",OCC,,,37000.0,1.0,37000.0,37000.0,0.0,0.0,37000.0,37000.0,37000.0
24571,2017,,102,1,4,1,51,760,40060.0,N,N,S,6,189000,0,0,0,0,6,189000,0,0,6,189000,"Citizens Bank, NA (RI)",OCC,,,31500.0,6.0,189000.0,189000.0,0.0,0.0,189000.0,189000.0,189000.0
24571,2017,,103,1,4,1,51,760,40060.0,N,N,S,3,85000,0,0,0,0,3,85000,0,0,3,85000,"Citizens Bank, NA (RI)",OCC,,,28333.333333333332,3.0,85000.0,85000.0,0.0,0.0,85000.0,85000.0,85000.0
24571,2017,,104,1,4,1,51,760,40060.0,N,N,S,2,62000,0,0,0,0,2,62000,0,0,2,62000,"Citizens Bank, NA (RI)",OCC,,,31000.0,2.0,62000.0,62000.0,0.0,0.0,62000.0,62000.0,62000.0
25022,2017,,101,1,4,1,51,760,40060.0,N,N,S,1,92000,1,104000,2,596000,0,0,0,0,4,792000,,OCC,,,92000.0,4.0,792000.0,92000.0,104000.0,596000.0,0.0,792000.0,792000.0
25022,2017,,102,1,4,1,51,760,40060.0,N,N,S,1,43000,0,0,1,298000,0,0,0,0,2,341000,,OCC,,,43000.0,2.0,341000.0,43000.0,0.0,298000.0,0.0,341000.0,341000.0
25079,2017,,101,1,4,1,51,760,40060.0,N,N,S,4,64000,0,0,0,0,0,0,0,0,4,64000,,OCC,,,16000.0,4.0,64000.0,64000.0,0.0,0.0,0.0,64000.0,64000.0
25079,2017,,102,1,4,1,51,760,40060.0,N,N,S,4,36000,1,150000,0,0,0,0,0,0,5,186000,,OCC,,,9000.0,1.0,150000.0,36000.0,150000.0,0.0,0.0,186000.0,150000.0
25079,2017,,104,1,4,1,51,760,40060.0,N,N,S,2,50000,0,0,0,0,0,0,0,0,2,50000,,OCC,,,25000.0,2.0,50000.0,50000.0,0.0,0.0,0.0,50000.0,50000.0
25149,2017,,101,1,4,1,51,760,40060.0,N,N,S,10,109000,0,0,0,0,0,0,0,0,10,109000,,OCC,,,10900.0,10.0,109000.0,109000.0,0.0,0.0,0.0,109000.0,109000.0
25149,2017,,102,1,4,1,51,760,40060.0,N,N,S,17,300000,1,134000,0,0,0,0,0,0,18,434000,,OCC,,,17647.058823529413,18.0,434000.0,300000.0,134000.0,0.0,0.0,434000.0,434000.0
25149,2017,,103,1,4,1,51,760,40060.0,N,N,S,2,5000,0,0,0,0,0,0,0,0,2,5000,,OCC,,,2500.0,0.0,0.0,5000.0,0.0,0.0,0.0,5000.0,0.0
25149,2017,,104,1,4,1,51,760,40060.0,N,N,S,11,94000,1,131000,0,0,0,0,0,0,12,225000,,OCC,,,8545.454545454546,1.0,131000.0,94000.0,131000.0,0.0,0.0,225000.0,131000.0
705902,2017,,101,1,4,1,51,760,40060.0,N,N,S,4,55000,0,0,0,0,0,0,0,0,4,55000,MetaBank (IA),OCC,,,13750.0,4.0,55000.0,55000.0,0.0,0.0,0.0,55000.0,55000.0
705902,2017,,102,1,4,1,51,760,40060.0,N,N,S,3,29000,0,0,0,0,0,0,0,0,3,29000,MetaBank (IA),OCC,,,9666.666666666666,0.0,0.0,29000.0,0.0,0.0,0.0,29000.0,0.0
705902,2017,,104,1,4,1,51,760,40060.0,N,N,S,1,0,0,0,0,0,0,0,0,0,1,0,MetaBank (IA),OCC,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
714640,2017,,104,1,4,1,51,760,40060.0,N,N,S,2,71000,0,0,0,0,2,71000,0,0,2,71000,State Farm Bank (IL),OCC,,,35500.0,2.0,71000.0,71000.0,0.0,0.0,71000.0,71000.0,71000.0
715044,2017,,101,1,4,1,51,760,40060.0,N,N,S,50,182000,0,0,0,0,0,0,0,0,50,182000,Synchrony Bank (UT),OCC,,,3640.0,0.0,0.0,182000.0,0.0,0.0,0.0,182000.0,0.0
715044,2017,,102,1,4,1,51,760,40060.0,N,N,S,96,229000,0,0,0,0,0,0,0,0,96,229000,Synchrony Bank (UT),OCC,,,2385.4166666666665,0.0,0.0,229000.0,0.0,0.0,0.0,229000.0,0.0
715044,2017,,103,1,4,1,51,760,40060.0,N,N,S,15,51000,0,0,0,0,0,0,0,0,15,51000,Synchrony Bank (UT),OCC,,,3400.0,0.0,0.0,51000.0,0.0,0.0,0.0,51000.0,0.0
715044,2017,,104,1,4,1,51,760,40060.0,N,N,S,47,115000,0,0,0,0,0,0,0,0,47,115000,Synchrony Bank (UT),OCC,,,2446.808510638298,0.0,0.0,115000.0,0.0,0.0,0.0,115000.0,0.0
715044,2017,,105,1,4,1,51,760,40060.0,N,N,S,1,1000,0,0,0,0,0,0,0,0,1,1000,Synchrony Bank (UT),OCC,,,1000.0,0.0,0.0,1000.0,0.0,0.0,0.0,1000.0,0.0
715648,2017,,101,1,4,1,51,760,40060.0,N,N,S,120,1566000,0,0,2,1200000,51,479000,0,0,122,2766000,"American Express, FSB (UT)",OCC,,,13050.0,0.0,0.0,1566000.0,0.0,1200000.0,479000.0,2766000.0,0.0
715648,2017,,102,1,4,1,51,760,40060.0,N,N,S,349,3347000,1,116000,0,0,174,1621000,0,0,350,3463000,"American Express, FSB (UT)",OCC,,,9590.257879656161,0.0,0.0,3347000.0,116000.0,0.0,1621000.0,3463000.0,0.0
715648,2017,,103,1,4,1,51,760,40060.0,N,N,S,124,1140000,1,209000,1,333000,81,630000,0,0,126,1682000,"American Express, FSB (UT)",OCC,,,9193.548387096775,0.0,0.0,1140000.0,209000.0,333000.0,630000.0,1682000.0,0.0
715648,2017,,104,1,4,1,51,760,40060.0,N,N,S,395,3814000,6,795000,1,347000,214,1961000,0,0,402,4956000,"American Express, FSB (UT)",OCC,,,9655.696202531646,0.0,0.0,3814000.0,795000.0,347000.0,1961000.0,4956000.0,0.0
715648,2017,,105,1,4,1,51,760,40060.0,N,N,S,2,16000,0,0,0,0,1,7000,0,0,2,16000,"American Express, FSB (UT)",OCC,,,8000.0,0.0,0.0,16000.0,0.0,0.0,7000.0,16000.0,0.0
715648,2017,,106,1,4,1,51,760,40060.0,N,N,S,5,20000,0,0,0,0,1,2000,0,0,5,20000,"American Express, FSB (UT)",OCC,,,4000.0,0.0,0.0,20000.0,0.0,0.0,2000.0,20000.0,0.0
715685,2017,,101,1,4,1,51,760,40060.0,N,N,S,1,3000,0,0,0,0,0,0,0,0,1,3000,"John Deere Financial, f.s.b. (WI)",OCC,,,3000.0,0.0,0.0,3000.0,0.0,0.0,0.0,3000.0,0.0
715685,2017,,104,1,4,1,51,760,40060.0,N,N,S,1,3000,0,0,0,0,0,0,0,0,1,3000,"John Deere Financial, f.s.b. (WI)",OCC,,,3000.0,0.0,0.0,3000.0,0.0,0.0,0.0,3000.0,0.0
716456,2017,,104,1,4,1,51,760,40060.0,N,N,S,1,11000,0,0,0,0,1,11000,0,0,1,11000,Bofi Federal Bank (CA),OCC,,,11000.0,1.0,11000.0,11000.0,0.0,0.0,11000.0,11000.0,11000.0
223322,2017,,104,2,4,1,51,760,40060.0,N,N,S,0,0,0,0,1,893000,1,893000,0,0,1,893000,,FRS,,,,,0.0,0.0,0.0,893000.0,893000.0,893000.0,0.0
365325,2017,,102,2,4,1,51,760,40060.0,N,N,S,1,5000,0,0,0,0,0,0,0,0,1,5000,UNITED BANK VA (VA),FRS,,,5000.0,0.0,0.0,5000.0,0.0,0.0,0.0,5000.0,0.0
431172,2017,,103,2,4,1,51,760,40060.0,N,N,S,1,40000,0,0,0,0,1,40000,0,0,1,40000,,FRS,,,40000.0,1.0,40000.0,40000.0,0.0,0.0,40000.0,40000.0,40000.0
506922,2017,,101,2,4,1,51,760,40060.0,N,N,S,0,0,2,361000,0,0,0,0,0,0,2,361000,Sandy Spring Bank (MD),FRS,,,,,0.0,0.0,361000.0,0.0,0.0,361000.0,0.0
802866,2017,,102,2,4,1,51,760,40060.0,N,N,S,1,5000,0,0,0,0,1,5000,0,0,1,5000,Silicon Valley Bank (CA),FRS,,,5000.0,0.0,0.0,5000.0,0.0,0.0,5000.0,5000.0,0.0
1007846,2017,,102,2,4,1,51,760,40060.0,N,N,S,0,0,2,283000,0,0,1,150000,0,0,2,283000,,FRS,,,,,0.0,0.0,283000.0,0.0,150000.0,283000.0,0.0
11580,2017,,101,3,4,1,51,760,40060.0,N,N,S,1,67000,0,0,0,0,0,0,0,0,1,67000,,FDIC,,,67000.0,1.0,67000.0,67000.0,0.0,0.0,0.0,67000.0,67000.0
11580,2017,,102,3,4,1,51,760,40060.0,N,N,S,5,205000,0,0,0,0,2,89000,0,0,5,205000,,FDIC,,,41000.0,5.0,205000.0,205000.0,0.0,0.0,89000.0,205000.0,205000.0
13421,2017,,103,3,4,1,51,760,40060.0,N,N,S,0,0,0,0,1,1000000,0,0,0,0,1,1000000,,FDIC,,,,,0.0,0.0,0.0,1000000.0,0.0,1000000.0,0.0
13425,2017,,102,3,4,1,51,760,40060.0,N,N,S,0,0,0,0,1,815000,0,0,0,0,1,815000,,FDIC,,,,,0.0,0.0,0.0,815000.0,0.0,815000.0,0.0
15359,2017,,104,3,4,1,51,760,40060.0,N,N,S,1,36000,1,159000,0,0,1,159000,0,0,2,195000,,FDIC,,,36000.0,2.0,195000.0,36000.0,159000.0,0.0,159000.0,195000.0,195000.0
19690,2017,,102,3,4,1,51,760,40060.0,N,N,S,0,0,1,145000,0,0,0,0,0,0,1,145000,,FDIC,,,,,0.0,0.0,145000.0,0.0,0.0,145000.0,0.0
20504,2017,,101,3,4,1,51,760,40060.0,N,N,S,4,28000,0,0,0,0,0,0,0,0,4,28000,AMERIS BANK (GA),FDIC,,,7000.0,0.0,0.0,28000.0,0.0,0.0,0.0,28000.0,0.0
20504,2017,,102,3,4,1,51,760,40060.0,N,N,S,3,94000,0,0,0,0,0,0,0,0,3,94000,AMERIS BANK (GA),FDIC,,,31333.333333333332,3.0,94000.0,94000.0,0.0,0.0,0.0,94000.0,94000.0
21440,2017,,103,3,4,1,51,760,40060.0,N,N,S,0,0,0,0,1,866000,1,866000,0,0,1,866000,,FDIC,,,,,0.0,0.0,0.0,866000.0,866000.0,866000.0,0.0
23498,2017,,104,3,4,1,51,760,40060.0,N,N,S,3,6000,0,0,0,0,0,0,0,0,3,6000,,FDIC,,,2000.0,0.0,0.0,6000.0,0.0,0.0,0.0,6000.0,0.0
23627,2017,,101,3,4,1,51,760,40060.0,N,N,S,0,0,1,250000,0,0,0,0,0,0,1,250000,,FDIC,,,,,0.0,0.0,250000.0,0.0,0.0,250000.0,0.0
23627,2017,,102,3,4,1,51,760,40060.0,N,N,S,1,1000,0,0,0,0,0,0,0,0,1,1000,,FDIC,,,1000.0,0.0,0.0,1000.0,0.0,0.0,0.0,1000.0,0.0
27471,2017,,104,3,4,1,51,760,40060.0,N,N,S,1,82000,0,0,1,310000,0,0,0,0,2,392000,American Express Centurion Bk (UT),FDIC,,,82000.0,0.0,0.0,82000.0,0.0,310000.0,0.0,392000.0,0.0
30903,2017,,104,3,4,1,51,760,40060.0,N,N,S,0,0,0,0,1,300000,1,300000,0,0,1,300000,COMMUNITY BANK OF THE CHESAPEA (MD),FDIC,,,,,0.0,0.0,0.0,300000.0,300000.0,300000.0,0.0
34697,2017,,101,3,4,1,51,760,40060.0,N,N,S,16,110000,0,0,0,0,0,0,0,0,16,110000,WEX BANK (UT),FDIC,,,6875.0,0.0,0.0,110000.0,0.0,0.0,0.0,110000.0,0.0
34697,2017,,102,3,4,1,51,760,40060.0,N,N,S,26,210000,0,0,0,0,0,0,0,0,26,210000,WEX BANK (UT),FDIC,,,8076.923076923077,0.0,0.0,210000.0,0.0,0.0,0.0,210000.0,0.0
34697,2017,,103,3,4,1,51,760,40060.0,N,N,S,8,63000,0,0,0,0,0,0,0,0,8,63000,WEX BANK (UT),FDIC,,,7875.0,0.0,0.0,63000.0,0.0,0.0,0.0,63000.0,0.0
34697,2017,,104,3,4,1,51,760,40060.0,N,N,S,5,33000,0,0,0,0,0,0,0,0,5,33000,WEX BANK (UT),FDIC,,,6600.0,0.0,0.0,33000.0,0.0,0.0,0.0,33000.0,0.0
57870,2017,,104,3,4,1,51,760,40060.0,N,N,S,1,40000,0,0,0,0,0,0,0,0,1,40000,STATE BANK & TRUST (GA),FDIC,,,40000.0,1.0,40000.0,40000.0,0.0,0.0,0.0,40000.0,40000.0
58648,2017,,104,3,4,1,51,760,40060.0,N,N,S,0,0,0,0,1,313000,0,0,0,0,1,313000,,FDIC,,,,,0.0,0.0,0.0,313000.0,0.0,313000.0,0.0
8,2016,,101,1,4,1,51,760,40060.0,N,N,S,4,132000,0,0,0,0,0,0,0,0,4,132000,JPMorgan Chase Bank NA (OH),OCC,,,33000.0,4.0,132000.0,135300.05571595,0.0,0.0,0.0,135300.05571595,135300.05571595
8,2016,,102,1,4,1,51,760,40060.0,N,N,S,2,76000,0,0,0,0,0,0,0,0,2,76000,JPMorgan Chase Bank NA (OH),OCC,,,38000.0,2.0,76000.0,77900.0320788803,0.0,0.0,0.0,77900.0320788803,77900.0320788803
