respondentID,activity_year,assessment_area_number,income_group_code,agency_code,loan_type,action_taken_type,state,county,msa,partial_county_indicator,split_county_indicator,population_classification,nLoans1,amtLoans1,nLoans100k,amtLoans100k,nLoans250k,amtLoans250k,nLoansToSmallest,amtLoansToSmallest,nLoansAff,amtLoansAff,nLoans,amtLoans,institution_name,agency,income_group,cra_level,avgSmallLoan,nWorkingLoans,amtWorkingLoans,amtLoans1_adj,amtLoans100k_adj,amtLoans250k_adj,amtLoansToSmallest_adj,amtLoans_adj,amtWorkingLoans_adj
336,2017,,13,1,4,1,36,61,35614.0,N,N,L,1,20000,0,0,0,0,1,20000,0,0,1,20000,,OCC,> 120% of MFI,upper,20000.0,1.0,20000.0,20000.0,0.0,0.0,20000.0,20000.0,20000.0
3656,2017,,13,1,4,1,36,61,35614.0,N,N,L,1,75000,1,119000,0,0,0,0,0,0,2,194000,,OCC,> 120% of MFI,upper,75000.0,2.0,194000.0,75000.0,119000.0,0.0,0.0,194000.0,194000.0
4166,2017,,13,1,4,1,36,61,35614.0,N,N,L,0,0,1,200000,0,0,0,0,0,0,1,200000,,OCC,> 120% of MFI,upper,,,0.0,0.0,200000.0,0.0,0.0,200000.0,0.0
4341,2017,,13,1,4,1,36,61,35614.0,N,N,L,3,120000,2,363000,3,1250000,1,100000,0,0,8,1733000,,OCC,> 120% of MFI,upper,40000.0,8.0,1733000.0,120000.0,363000.0,1250000.0,100000.0,1733000.0,1733000.0
4341,2017,,14,1,4,1,36,61,35614.0,N,N,L,1,25000,0,0,0,0,1,25000,0,0,1,25000,,OCC,,unknown,25000.0,1.0,25000.0,25000.0,0.0,0.0,25000.0,25000.0,25000.0
5263,2017,,13,1,4,1,36,61,35614.0,N,N,L,0,0,0,0,1,668000,0,0,0,0,1,668000,,OCC,> 120% of MFI,upper,,,0.0,0.0,0.0,668000.0,0.0,668000.0,0.0
7745,2017,,13,1,4,1,36,61,35614.0,N,N,L,1,19000,3,515000,0,0,2,134000,0,0,4,534000,,OCC,> 120% of MFI,upper,19000.0,4.0,534000.0,19000.0,515000.0,0.0,134000.0,534000.0,534000.0
7745,2017,,14,1,4,1,36,61,35614.0,N,N,L,0,0,0,0,2,1250000,0,0,0,0,2,1250000,,OCC,,unknown,,,0.0,0.0,0.0,1250000.0,0.0,1250000.0,0.0
8531,2017,,13,1,4,1,36,61,35614.0,N,N,L,0,0,0,0,1,400000,0,0,0,0,1,400000,,OCC,> 120% of MFI,upper,,,0.0,0.0,0.0,400000.0,0.0,400000.0,0.0
9179,2017,,13,1,4,1,36,61,35614.0,N,N,L,1,50000,0,0,0,0,1,50000,0,0,1,50000,,OCC,> 120% of MFI,upper,50000.0,1.0,50000.0,50000.0,0.0,0.0,50000.0,50000.0,50000.0
13679,2017,,13,1,4,1,36,61,35614.0,N,N,L,3,188000,5,848000,4,1437000,0,0,0,0,12,2473000,,OCC,> 120% of MFI,upper,62666.666666666664,12.0,2473000.0,188000.0,848000.0,1437000.0,0.0,2473000.0,2473000.0
13684,2017,,4,1,4,1,36,61,35614.0,N,N,L,0,0,0,0,1,300000,0,0,0,0,1,300000,,OCC,30% to 40% of MFI,low,,,0.0,0.0,0.0,300000.0,0.0,300000.0,0.0
13684,2017,,13,1,4,1,36,61,35614.0,N,N,L,1,66000,11,1954000,11,5486000,0,0,0,0,23,7506000,,OCC,> 120% of MFI,upper,66000.0,23.0,7506000.0,66000.0,1954000.0,5486000.0,0.0,7506000.0,7506000.0
14447,2017,,13,1,4,1,36,61,35614.0,N,N,L,1,72000,0,0,0,0,0,0,0,0,1,72000,,OCC,> 120% of MFI,upper,72000.0,1.0,72000.0,72000.0,0.0,0.0,0.0,72000.0,72000.0
14583,2017,,5,1,4,1,36,61,35614.0,N,N,L,2,91000,0,0,0,0,0,0,0,0,2,91000,"BMO Harris Bank, N.A. (IL)",OCC,40% to 50% of MFI,low,45500.0,2.0,91000.0,91000.0,0.0,0.0,0.0,91000.0,91000.0
14583,2017,,6,1,4,1,36,61,35614.0,N,N,L,0,0,3,461000,0,0,0,0,0,0,3,461000,"BMO Harris Bank, N.A. (IL)",OCC,50% to 60% of MFI,moderate,,,0.0,0.0,461000.0,0.0,0.0,461000.0,0.0
14583,2017,,7,1,4,1,36,61,35614.0,N,N,L,2,80000,2,279000,0,0,0,0,0,0,4,359000,"BMO Harris Bank, N.A. (IL)",OCC,60% to 70% of MFI,moderate,40000.0,4.0,359000.0,80000.0,279000.0,0.0,0.0,359000.0,359000.0
14583,2017,,13,1,4,1,36,61,35614.0,N,N,L,11,698000,1,125000,2,1434000,0,0,0,0,14,2257000,"BMO Harris Bank, N.A. (IL)",OCC,> 120% of MFI,upper,63454.545454545456,14.0,2257000.0,698000.0,125000.0,1434000.0,0.0,2257000.0,2257000.0
15576,2017,,5,1,4,1,36,61,35614.0,N,N,L,1,61000,0,0,0,0,0,0,0,0,1,61000,STEARNS BANK N A (MN),OCC,40% to 50% of MFI,low,61000.0,1.0,61000.0,61000.0,0.0,0.0,0.0,61000.0,61000.0
15576,2017,,6,1,4,1,36,61,35614.0,N,N,L,3,97000,0,0,0,0,0,0,0,0,3,97000,STEARNS BANK N A (MN),OCC,50% to 60% of MFI,moderate,32333.333333333332,3.0,97000.0,97000.0,0.0,0.0,0.0,97000.0,97000.0
15576,2017,,8,1,4,1,36,61,35614.0,N,N,L,1,37000,0,0,0,0,0,0,0,0,1,37000,STEARNS BANK N A (MN),OCC,70% to 80% of MFI,moderate,37000.0,1.0,37000.0,37000.0,0.0,0.0,0.0,37000.0,37000.0
