respondentID,activity_year,loan_type,action_taken_type,state,county,msa,agency_code,nLenders,nLoans,amtLoans,nLoansToSmallest,amtLoansToSmallest,institution_name,agency,amtLoans_adj,amtLoansToSmallest_adj
1461,2009,4,1,11.0,1.0,47894.0,1,,28,2081000,17,341000,"CITIBANK, N.A. (NY)",OCC,2081000,341000
1461,2010,4,1,11.0,1.0,47894.0,1,,40,2248000,17,543000,"CITIBANK, N.A. (NY)",OCC,2248000,543000
1461,2011,4,1,11.0,1.0,47894.0,1,,74,3953000,50,1662000,"CITIBANK, N.A. (NY)",OCC,3953000,1662000
1461,2012,4,1,11.0,1.0,47894.0,1,,765,7034000,492,3489000,"CITIBANK, N.A. (NY)",OCC,7034000,3489000
1461,2013,4,1,11.0,1.0,47894.0,1,,643,6914000,404,4180000,"CITIBANK, N.A. (NY)",OCC,6914000,4180000
1461,2014,4,1,11.0,1.0,47894.0,1,,742,8566000,463,3828000,"CITIBANK, N.A. (NY)",OCC,8566000,3828000
1461,2015,4,1,11.0,1.0,47894.0,1,,974,8952000,700,5033000,"CITIBANK, N.A. (NY)",OCC,8952000,5033000
1461,2016,4,1,11.0,1.0,47894.0,1,,952,12113000,663,5726000,"CITIBANK, N.A. (NY)",OCC,12113000,5726000
1461,2017,4,1,11.0,1.0,47894.0,1,,911,14728000,691,5928000,"CITIBANK, N.A. (NY)",OCC,14728000,5928000
1741,2004,4,1,11.0,1.0,47894.0,1,,446,15049000,303,8679000,,OCC,15049000,8679000
1741,2005,4,1,11.0,1.0,47894.0,1,,552,19174000,391,11810000,,OCC,19174000,11810000
1741,2006,4,1,11.0,1.0,47894.0,1,,545,19287000,399,12427000,,OCC,19287000,12427000
1741,2007,4,1,11.0,1.0,47894.0,1,,547,18963000,402,12640000,,OCC,18963000,12640000
1741,2008,4,1,11.0,1.0,47894.0,1,,456,18060000,326,11504000,,OCC,18060000,11504000
1741,2009,4,1,11.0,1.0,47894.0,1,,355,13789000,249,8250000,,OCC,13789000,8250000
1770,2010,4,1,11.0,1.0,47894.0,1,,1,100000,0,0,,OCC,100000,0
1770,2011,4,1,11.0,1.0,47894.0,1,,1,100000,1,100000,,OCC,100000,100000
1874,2016,4,1,11.0,1.0,47894.0,3,,1,244000,0,0,,FDIC,244000,0
1893,2004,4,1,11.0,1.0,47894.0,3,,2,350000,2,350000,,FDIC,350000,350000
1899,2006,4,1,11.0,1.0,47894.0,3,,2,20000,0,0,,FDIC,20000,0
2366,2005,4,1,11.0,1.0,47894.0,1,,1,60000,0,0,,OCC,60000,0
2597,2004,4,1,11.0,1.0,47894.0,1,,1,20000,1,20000,,OCC,20000,20000
2597,2005,4,1,11.0,1.0,47894.0,1,,1,40000,1,40000,,OCC,40000,40000
2597,2006,4,1,11.0,1.0,47894.0,1,,6,306000,4,173000,,OCC,306000,173000
2597,2007,4,1,11.0,1.0,47894.0,1,,3,248000,1,40000,,OCC,248000,40000
2597,2008,4,1,11.0,1.0,47894.0,1,,2,208000,0,0,,OCC,208000,0
2597,2009,4,1,11.0,1.0,47894.0,1,,1,100000,0,0,,OCC,100000,0
2597,2010,4,1,11.0,1.0,47894.0,1,,1,100000,0,0,,OCC,100000,0
2597,2011,4,1,11.0,1.0,47894.0,1,,1,100000,0,0,,OCC,100000,0
2597,2012,4,1,11.0,1.0,47894.0,1,,1,100000,0,0,,OCC,100000,0
2597,2013,4,1,11.0,1.0,47894.0,1,,2,121000,1,21000,,OCC,121000,21000
2630,2007,4,1,11.0,1.0,47894.0,4,,14,365000,10,270000,,OTS,365000,270000
2630,2008,4,1,11.0,1.0,47894.0,4,,11,255000,10,215000,,OTS,255000,215000
3514,2007,4,1,11.0,1.0,47894.0,3,,2,214000,0,0,Bank of the West (CA),FDIC,214000,0
3514,2015,4,1,11.0,1.0,47894.0,3,,4,367000,0,0,Bank of the West (CA),FDIC,367000,0
3514,2016,4,1,11.0,1.0,47894.0,3,,2,194000,0,0,Bank of the West (CA),FDIC,194000,0
3514,2017,4,1,11.0,1.0,47894.0,3,,2,110000,0,0,Bank of the West (CA),FDIC,110000,0
3817,2009,4,1,11.0,1.0,47894.0,1,,1,10000,0,0,,OCC,10000,0
3817,2015,4,1,11.0,1.0,47894.0,1,,2,110000,2,110000,,OCC,110000,110000
4239,2015,4,1,11.0,1.0,47894.0,3,,1,100000,1,100000,,FDIC,100000,100000
4239,2017,4,1,11.0,1.0,47894.0,3,,1,600000,0,0,,FDIC,600000,0
4341,2004,4,1,11.0,1.0,47894.0,1,,1,624000,0,0,,OCC,624000,0
4341,2006,4,1,11.0,1.0,47894.0,1,,2,1663000,2,1663000,,OCC,1663000,1663000
4341,2009,4,1,11.0,1.0,47894.0,1,,1,720000,1,720000,,OCC,720000,720000
4341,2014,4,1,11.0,1.0,47894.0,1,,1,450000,1,450000,,OCC,450000,450000
4365,2016,4,1,11.0,1.0,47894.0,3,,2,2000000,2,2000000,,FDIC,2000000,2000000
4410,2005,4,1,11.0,1.0,47894.0,4,,1,53000,0,0,,OTS,53000,0
4410,2006,4,1,11.0,1.0,47894.0,4,,4,165000,3,155000,,OTS,165000,155000
4410,2007,4,1,11.0,1.0,47894.0,4,,1,83000,1,83000,,OTS,83000,83000
4410,2008,4,1,11.0,1.0,47894.0,4,,1,950000,1,950000,,OTS,950000,950000
4410,2009,4,1,11.0,1.0,47894.0,4,,1,350000,0,0,,OTS,350000,0
4474,2006,4,1,11.0,1.0,47894.0,4,,1,20000,1,20000,,OTS,20000,20000
5001,2004,4,1,11.0,1.0,47894.0,1,,2,900000,1,500000,,OCC,900000,500000
5001,2005,4,1,11.0,1.0,47894.0,1,,4,1776000,0,0,,OCC,1776000,0
5046,2004,4,1,11.0,1.0,47894.0,1,,52,10558000,21,4361000,,OCC,10558000,4361000
5649,2006,4,1,11.0,1.0,47894.0,3,,56,529000,50,414000,,FDIC,529000,414000
5649,2007,4,1,11.0,1.0,47894.0,3,,117,1068000,101,936000,,FDIC,1068000,936000
5649,2008,4,1,11.0,1.0,47894.0,3,,208,1600000,203,1554000,,FDIC,1600000,1554000
5649,2009,4,1,11.0,1.0,47894.0,3,,35,260000,31,227000,,FDIC,260000,227000
5649,2010,4,1,11.0,1.0,47894.0,3,,2,10000,2,10000,,FDIC,10000,10000
5649,2011,4,1,11.0,1.0,47894.0,3,,9,62000,8,55000,,FDIC,62000,55000
5649,2012,4,1,11.0,1.0,47894.0,3,,14,47000,14,47000,,FDIC,47000,47000
5649,2013,4,1,11.0,1.0,47894.0,3,,10,33000,10,33000,,FDIC,33000,33000
5649,2014,4,1,11.0,1.0,47894.0,3,,8,19000,3,7000,,FDIC,19000,7000
5649,2015,4,1,11.0,1.0,47894.0,3,,8,24000,3,8000,,FDIC,24000,8000
5649,2016,4,1,11.0,1.0,47894.0,3,,2,5000,2,5000,,FDIC,5000,5000
5863,2004,4,1,11.0,1.0,47894.0,3,,1,35000,0,0,,FDIC,35000,0
5903,2011,4,1,11.0,1.0,47894.0,3,,1,30000,1,30000,,FDIC,30000,30000
5903,2013,4,1,11.0,1.0,47894.0,3,,1,25000,1,25000,,FDIC,25000,25000
5915,2004,4,1,11.0,1.0,47894.0,3,,17,465000,0,0,,FDIC,465000,0
5915,2005,4,1,11.0,1.0,47894.0,3,,11,436000,0,0,,FDIC,436000,0
6069,2008,4,1,11.0,1.0,47894.0,4,,2,753000,2,753000,,OTS,753000,753000
6301,2004,4,1,11.0,1.0,47894.0,1,,1,750000,0,0,,OCC,750000,0
6301,2005,4,1,11.0,1.0,47894.0,1,,1,150000,0,0,,OCC,150000,0
6301,2006,4,1,11.0,1.0,47894.0,1,,1,150000,0,0,,OCC,150000,0
6301,2007,4,1,11.0,1.0,47894.0,1,,1,150000,0,0,,OCC,150000,0
6301,2008,4,1,11.0,1.0,47894.0,1,,1,150000,0,0,,OCC,150000,0
6301,2009,4,1,11.0,1.0,47894.0,1,,2,275000,1,125000,,OCC,275000,125000
7266,2011,4,1,11.0,1.0,47894.0,1,,2,15000,2,15000,,OCC,15000,15000
7266,2012,4,1,11.0,1.0,47894.0,1,,1,8000,1,8000,,OCC,8000,8000
7266,2013,4,1,11.0,1.0,47894.0,1,,1,10000,1,10000,,OCC,10000,10000
7266,2014,4,1,11.0,1.0,47894.0,1,,1,14000,1,14000,,OCC,14000,14000
7266,2015,4,1,11.0,1.0,47894.0,1,,1,15000,1,15000,,OCC,15000,15000
