census_tract,activity_year,loan_type,action_taken_type,state,county,msa,split_county_indicator,population_classification,income_group_code,nLoans1,amtLoans1,nLoans100k,amtLoans100k,nLoans250k,amtLoans250k,nLoansToSmallest,amtLoansToSmallest,income_group,cra_level,nLoans,amtLoans,avgSmallLoan,nWorkingLoans,amtWorkingLoans,C000,CA01,CA02,CA03,CE01,CE02,CE03,CNS01,CNS02,CNS03,CNS04,CNS05,CNS06,CNS07,CNS08,CNS09,CNS10,CNS11,CNS12,CNS13,CNS14,CNS15,CNS16,CNS17,CNS18,CNS19,CNS20,CR01,CR02,CR03,CR04,CR05,CR07,CT01,CT02,CD01,CD02,CD03,CD04,CS01,CS02,CFA01,CFA02,CFA03,CFA04,CFA05,CFS01,CFS02,CFS03,CFS04,CFS05,nLoans1_per_totaljob,amtLoans1_per_totaljob,nLoans100k_per_totaljob,amtLoans100k_per_totaljob,nLoans250k_per_totaljob,amtLoans250k_per_totaljob,nLoansToSmallest_per_totaljob,amtLoansToSmallest_per_totaljob,nLoans_per_totaljob,amtLoans_per_totaljob,nWorkingLoans_per_totaljob,amtWorkingLoans_per_totaljob,nLoans1_per_sbjob,amtLoans1_per_sbjob,nLoans100k_per_sbjob,amtLoans100k_per_sbjob,nLoans250k_per_sbjob,amtLoans250k_per_sbjob,nLoansToSmallest_per_sbjob,amtLoansToSmallest_per_sbjob,nLoans_per_sbjob,amtLoans_per_sbjob,nWorkingLoans_per_sbjob,amtWorkingLoans_per_sbjob,GEOID,STUSAB,LOGRECNO,pop_total,B11001_001,pop_white,pop_black,white_householder,black_householder,owner_occ_housing_units,mfi,female_householder,unemployed_16plus,poverty_past_12_months,median_home_value,median_year_built,labor_force_16plus,poverty_status_known,pop_total_err,B11001_001_err,pop_white_err,pop_black_err,black_householder_err,white_householder_err,owner_occ_housing_units_err,mfi_err,female_householder_err,unemployed_16plus_err,poverty_past_12_months_err,median_home_value_err,median_year_built_err,labor_force_16plus_err,poverty_status_known_err,Geography Name,hs_grad_25plus,total_householders,pop_25plus,hs_grad_25plus_serr,pop_25plus_serr,total_householders_serr,pct_white,pct_black,pct_white_householders,pct_black_householders,pct_female_householders,pct_hs_grad,pct_unemployed,pct_white_serr,pct_black_serr,pct_white_householders_serr,pct_black_householders_serr,pct_female_householders_serr,pct_hs_grad_serr,pct_unemployed_serr,pct_poverty_serr,amtLoans1_adj,amtLoans100k_adj,amtLoans250k_adj,amtLoansToSmallest_adj,amtLoans_adj,amtWorkingLoans_adj,mfi_adj,median_home_value_adj,amtLoans1_per_totaljob_adj,amtLoans100k_per_totaljob_adj,amtLoans250k_per_totaljob_adj,amtLoansToSmallest_per_totaljob_adj,amtLoans_per_totaljob_adj,amtWorkingLoans_per_totaljob_adj,amtLoans1_per_sbjob_adj,amtLoans100k_per_sbjob_adj,amtLoans250k_per_sbjob_adj,amtLoansToSmallest_per_sbjob_adj,amtLoans_per_sbjob_adj,amtWorkingLoans_per_sbjob_adj,CSA2010
101.0,2011,4,1,24,510,12580.0,N,L,10,54,531000,2,360000,0,0,43,774000,90% to 100% of MFI,middle,56,891000,9833.333333333334,2.0,360000.0,13904.0,4584.0,7080.0,2240.0,3824.0,6256.0,3824.0,0.0,0.0,0.0,1304.0,400.0,80.0,520.0,0.0,0.0,312.0,264.0,688.0,0.0,96.0,472.0,3784.0,264.0,4768.0,912.0,40.0,9848.0,3504.0,32.0,352.0,16.0,152.0,12856.0,1048.0,1576.0,2968.0,2656.0,2120.0,5776.0,8128.0,54.0,123.0,23.0,113.0,606.0,289.0,271.0,294.0,1.0,64.0,0.0038837744533947068,38.190448791714616,0.00014384349827387802,25.891829689298042,0.0,0.0,0.0030926352128883773,55.66743383199079,0.004027617951668585,64.08227848101266,0.00014384349827387802,25.891829689298042,0.18685121107266436,1837.370242214533,0.006920415224913495,1245.674740484429,0.0,0.0,0.14878892733564014,2678.2006920415224,0.19377162629757785,3083.044982698962,0.006920415224913495,1245.674740484429,14000US24510010100,md,5528.0,2810.0,1372.0,2598.0,164.0,1276.0,58.0,950.0,113281.0,75.0,91.0,322.0,267900.0,1939.0,2013.0,2655.0,314.0,106.0,310.0,95.0,106.0,59.0,133.0,12093.0,58.0,74.0,193.0,30429.0,,267.0,305.0,"Census Tract 101, Baltimore city, Maryland",2108.0,1372.0,2390.0,197.6506726010168,207.389294720521,105.57224727582935,0.9245551601423487,0.058362989323843414,0.9300291545189504,0.04227405247813411,0.05466472303206997,0.8820083682008368,0.12128060263653484,0.023519874955746357,0.020165854884167233,0.050753873613328955,0.050753873613328955,0.050753873613328955,0.019044869038888978,0.059576818841309706,0.04337105694506794,585531.524863434,396970.5253311417,0.0,853486.6294619547,982502.0501945757,396970.5253311417,124914.49466676962,295412.23260059126,42.11245144299727,28.550814537625264,0.0,61.38425125589432,70.66326598062254,28.550814537625264,2026.0606396658616,1373.6004336717706,0.0,2953.2409323943066,3399.6610733376324,1373.6004336717706,Canton
101.0,2012,4,1,24,510,12580.0,N,L,10,49,584000,1,129000,3,1468000,28,775000,90% to 100% of MFI,middle,53,2181000,11918.367346938776,53.0,2181000.0,13880.0,3784.0,7616.0,2480.0,3616.0,6264.0,4000.0,0.0,0.0,0.0,744.0,128.0,128.0,816.0,0.0,32.0,272.0,240.0,1256.0,0.0,200.0,408.0,3936.0,288.0,4560.0,840.0,32.0,9720.0,3424.0,48.0,472.0,16.0,200.0,13000.0,880.0,1584.0,2952.0,3144.0,2416.0,6040.0,7840.0,57.0,78.0,79.0,108.0,603.0,313.0,259.0,283.0,1.0,69.0,0.0035302593659942362,42.07492795389049,7.204610951008646e-05,9.293948126801153,0.00021613832853025936,105.76368876080691,0.0020172910662824206,55.835734870317005,0.0038184438040345823,157.13256484149855,0.0038184438040345823,157.13256484149855,0.15654952076677317,1865.814696485623,0.003194888178913738,412.1405750798722,0.009584664536741214,4690.095846645368,0.08945686900958466,2476.038338658147,0.16932907348242812,6968.051118210863,0.16932907348242812,6968.051118210863,14000US24510010100,md,5525.0,2958.0,1372.0,2786.0,142.0,1300.0,51.0,973.0,114583.0,99.0,102.0,249.0,259600.0,1939.0,2118.0,2801.0,303.0,110.0,284.0,88.0,113.0,48.0,112.0,15238.0,65.0,75.0,198.0,23212.0,,207.0,282.0,"Census Tract 101, Baltimore city, Maryland",2214.0,1372.0,2481.0,188.45867221226774,180.69544529421424,97.75144036418769,0.9418526031102096,0.048005409060175794,0.9475218658892128,0.03717201166180758,0.07215743440233237,0.8923821039903265,0.08889682256337023,0.08274189011376988,0.01783624045111796,0.046222095262119046,0.046222095262119046,0.046222095262119046,0.023901147926837882,0.054015179852989696,0.042626242627936725,625672.1417069244,138204.97650718022,1572751.2055235703,830301.2154501138,2336628.323737675,2336628.323737675,122759.23118699405,278124.1232656123,45.077243638827404,9.957130872275233,113.31060558527163,59.81997229467679,168.34498009637426,168.34498009637426,1998.952529415094,441.54944570984094,5024.764234899586,2652.719538179277,7465.266210024522,7465.266210024522,Canton
101.0,2013,4,1,24,510,12580.0,N,L,10,55,651000,1,200000,1,325000,28,272000,90% to 100% of MFI,middle,57,1176000,11836.363636363636,57.0,1176000.0,15696.0,4616.0,8680.0,2400.0,3864.0,7064.0,4768.0,0.0,0.0,0.0,936.0,144.0,32.0,952.0,0.0,200.0,416.0,320.0,1448.0,0.0,248.0,600.0,4192.0,304.0,5256.0,648.0,0.0,11424.0,3576.0,16.0,464.0,0.0,216.0,14600.0,1096.0,1720.0,3176.0,3576.0,2608.0,6744.0,8952.0,76.0,106.0,116.0,175.0,580.0,410.0,286.0,285.0,1.0,71.0,0.00350407747196738,41.47553516819572,6.371049949031601e-05,12.7420998980632,6.371049949031601e-05,20.7059123343527,0.001783893985728848,17.329255861365954,0.0036314984709480123,74.92354740061162,0.0036314984709480123,74.92354740061162,0.13414634146341464,1587.8048780487804,0.0024390243902439024,487.8048780487805,0.0024390243902439024,792.6829268292682,0.06829268292682927,663.4146341463414,0.13902439024390245,2868.2926829268295,0.13902439024390245,2868.2926829268295,14000US24510010100,md,2540.0,3184.0,1423.0,3006.0,135.0,1368.0,45.0,901.0,113563.0,19.0,153.0,385.0,257600.0,1939.0,2375.0,3028.0,382.0,90.0,368.0,78.0,93.0,48.0,112.0,17098.0,18.0,83.0,319.0,17640.0,,277.0,361.0,"Census Tract 101, Baltimore city, Maryland",2437.0,1423.0,2648.0,185.60555769351254,188.38120134152066,105.4198696444138,0.9440954773869347,0.04239949748743719,0.9613492621222769,0.03162333099086437,0.013352073085031623,0.9203172205438066,0.12714663143989433,0.013977380624034459,0.0145674932802864,0.0479050166401433,0.0479050166401433,0.0479050166401433,0.015214318136965433,0.04728734604366471,0.0633761746461907,686504.2079207922,210907.59075907592,342724.8349834984,286834.32343234326,1240136.6336633665,1240136.6336633665,119756.49364686469,271648.9768976898,43.73752598883742,13.437027953559882,21.83517042453481,18.274358016841443,79.00972436693212,79.00972436693212,1674.4005071238832,514.4087579489657,835.9142316670692,699.5959108105933,3024.723496739918,3024.723496739918,Canton
101.0,2014,4,1,24,510,12580.0,N,L,10,62,798000,3,405000,2,1225000,34,768000,90% to 100% of MFI,middle,67,2428000,12870.967741935483,67.0,2428000.0,14744.0,3976.0,8336.0,2432.0,3872.0,6704.0,4168.0,0.0,0.0,0.0,128.0,288.0,16.0,680.0,0.0,328.0,384.0,296.0,1120.0,0.0,656.0,624.0,4192.0,216.0,5056.0,736.0,24.0,10240.0,3728.0,16.0,568.0,16.0,176.0,13816.0,928.0,1640.0,2984.0,3432.0,2712.0,6256.0,8488.0,47.0,112.0,34.0,190.0,605.0,366.0,191.0,352.0,3.0,76.0,0.004205100379815518,54.123711340206185,0.00020347259902333151,27.468800868149756,0.00013564839934888768,83.0846446011937,0.0023060227889310906,52.08898534997287,0.004544221378187737,164.67715680954964,0.004544221378187737,164.67715680954964,0.16939890710382513,2180.3278688524592,0.00819672131147541,1106.5573770491803,0.00546448087431694,3346.9945355191257,0.09289617486338798,2098.3606557377047,0.1830601092896175,6633.879781420765,0.1830601092896175,6633.879781420765,14000US24510010100,md,2540.0,3091.0,1417.0,2829.0,146.0,1325.0,49.0,839.0,105385.0,16.0,96.0,369.0,260500.0,1939.0,2277.0,2934.0,295.0,92.0,282.0,92.0,101.0,54.0,113.0,27935.0,21.0,59.0,212.0,26301.0,,214.0,251.0,"Census Tract 101, Baltimore city, Maryland",2414.0,1417.0,2605.0,186.7063182322374,183.6791972573496,84.99558571590663,0.9152377871239081,0.04723390488515044,0.9350741002117149,0.03458009880028229,0.011291460832745237,0.926679462571977,0.12576687116564417,0.01600962436254564,0.017884785691879023,0.04122178027895872,0.04122178027895872,0.04122178027895872,0.017905285116196788,0.04978773905149324,0.04343512198404311,828440.645359873,420449.19971271744,1271729.060859454,797296.260195968,2520618.9059320446,2520618.9059320446,109405.0343499376,270437.07783990836,56.18832374931314,28.516630474275466,86.25400575552455,54.075980751218665,170.95895997911316,170.95895997911316,2263.4990310379044,1148.768305226004,3474.6695651897653,2178.4050825026443,6886.936901453673,6886.936901453673,Canton
101.0,2015,4,1,24,510,12580.0,N,L,10,67,907000,0,0,4,2266000,33,1203000,90% to 100% of MFI,middle,71,3173000,13537.313432835821,71.0,3173000.0,14968.0,3664.0,8624.0,2680.0,3944.0,6600.0,4424.0,0.0,0.0,0.0,80.0,0.0,0.0,848.0,0.0,608.0,368.0,416.0,1352.0,0.0,248.0,672.0,4144.0,24.0,5520.0,688.0,0.0,10560.0,3912.0,48.0,320.0,0.0,128.0,14288.0,680.0,1672.0,3264.0,3328.0,3040.0,6360.0,8608.0,47.0,98.0,50.0,145.0,650.0,382.0,208.0,68.0,229.0,103.0,0.004476215927311598,60.595938001068944,0.0,0.0,0.0002672367717797969,151.38963121325494,0.0022047033671833242,80.37145911277392,0.004743452699091395,211.9855692143239,0.004743452699091395,211.9855692143239,0.17539267015706805,2374.3455497382197,0.0,0.0,0.010471204188481676,5931.937172774869,0.08638743455497382,3149.214659685864,0.18586387434554974,8306.28272251309,0.18586387434554974,8306.28272251309,14000US24510010100,md,2540.0,3039.0,1442.0,2756.0,119.0,1373.0,16.0,913.0,109219.0,44.0,69.0,347.0,286500.0,1939.0,2211.0,2882.0,296.0,106.0,273.0,68.0,117.0,23.0,119.0,18215.0,31.0,46.0,264.0,16819.0,,189.0,233.0,"Census Tract 101, Baltimore city, Maryland",2428.0,1442.0,2558.0,169.7584035542177,169.14012872473222,91.67245813326947,0.9068772622573215,0.039157617637380716,0.9521497919556172,0.011095700416088766,0.030513176144244106,0.9491790461297889,0.12040249826509368,0.00994409730347117,0.013403245292948717,0.03805308122864042,0.03805308122864042,0.03805308122864042,0.01311043024275253,0.04664599243230025,0.05537044944363108,942440.6329292662,0.0,2354542.9704715735,1250006.7049767445,3296983.6034008395,3296983.6034008395,113486.68521268084,297694.86365406256,62.96369808453141,0.0,157.30511561140924,83.51193913527155,220.26881369594068,220.26881369594068,2467.122075731063,0.0,6163.725053590507,3272.268861195666,8630.84712932157,8630.84712932157,Canton
101.0,2016,4,1,24,510,12580.0,N,L,10,68,941000,3,540000,3,979000,41,996000,90% to 100% of MFI,middle,74,2460000,13838.235294117647,74.0,2460000.0,14968.0,3664.0,8624.0,2680.0,3944.0,6600.0,4424.0,0.0,0.0,0.0,80.0,0.0,0.0,848.0,0.0,608.0,368.0,416.0,1352.0,0.0,248.0,672.0,4144.0,24.0,5520.0,688.0,0.0,10560.0,3912.0,48.0,320.0,0.0,128.0,14288.0,680.0,1672.0,3264.0,3328.0,3040.0,6360.0,8608.0,47.0,98.0,50.0,145.0,650.0,382.0,208.0,68.0,229.0,103.0,0.004543025120256547,62.867450561197224,0.00020042757883484769,36.076964190272584,0.00020042757883484769,65.4061998931053,0.0027391769107429184,66.54195617316942,0.004943880277926242,164.3506146445751,0.004943880277926242,164.3506146445751,0.17801047120418848,2463.3507853403144,0.007853403141361256,1413.6125654450261,0.007853403141361256,2562.82722513089,0.10732984293193717,2607.329842931937,0.193717277486911,6439.79057591623,0.193717277486911,6439.79057591623,14000US24510010100,md,2534.0,3176.0,1462.0,2855.0,160.0,1386.0,19.0,938.0,109861.0,78.0,55.0,316.0,294000.0,1939.0,2307.0,3019.0,265.0,99.0,231.0,91.0,105.0,22.0,101.0,25094.0,49.0,38.0,216.0,19985.0,,197.0,238.0,"Census Tract 101, Baltimore city, Maryland",2572.0,1462.0,2699.0,173.75706338918232,199.35317286314506,85.36651516859311,0.8989294710327456,0.05037783375314862,0.948016415868673,0.012995896032831737,0.0533515731874145,0.9529455353834754,0.10467042066909572,0.06351306353239358,0.01722941256887241,0.0348715983634745,0.0348715983634745,0.0348715983634745,0.057986411124966886,0.04576887802105963,0.04320330907825344,964525.397187189,553500.2279288863,1003475.413226629,1020900.4204021681,2521501.0383427045,2521501.0383427045,112607.57137128773,301350.12409461587,64.43916336098269,36.978903522774345,67.04138249777051,68.20553316422823,168.45944938152755,168.45944938152755,2524.9355947308613,1448.953476253629,2626.8989875042644,2672.5141895344714,6600.788058488755,6600.788058488755,Canton
101.0,2017,4,1,24,510,12580.0,N,L,13,73,1047000,0,0,0,0,43,621000,> 120% of MFI,upper,73,1047000,14342.465753424658,73.0,1047000.0,14968.0,3664.0,8624.0,2680.0,3944.0,6600.0,4424.0,0.0,0.0,0.0,80.0,0.0,0.0,848.0,0.0,608.0,368.0,416.0,1352.0,0.0,248.0,672.0,4144.0,24.0,5520.0,688.0,0.0,10560.0,3912.0,48.0,320.0,0.0,128.0,14288.0,680.0,1672.0,3264.0,3328.0,3040.0,6360.0,8608.0,47.0,98.0,50.0,145.0,650.0,382.0,208.0,68.0,229.0,103.0,0.004877071084981293,69.94922501336184,0.0,0.0,0.0,0.0,0.002872795296632817,41.48850881881347,0.004877071084981293,69.94922501336184,0.004877071084981293,69.94922501336184,0.19109947643979058,2740.8376963350784,0.0,0.0,0.0,0.0,0.112565445026178,1625.65445026178,0.19109947643979058,2740.8376963350784,0.19109947643979058,2740.8376963350784,14000US24510010100,md,2533.0,3201.0,1466.0,2830.0,219.0,1332.0,79.0,911.0,104844.0,75.0,59.0,372.0,316500.0,1939.0,2249.0,3045.0,255.0,92.0,221.0,107.0,101.0,70.0,99.0,35087.0,49.0,45.0,248.0,31841.0,,170.0,242.0,"Census Tract 101, Baltimore city, Maryland",2597.0,1466.0,2727.0,180.3248967660236,193.50127520908833,80.41337753664274,0.8840987191502655,0.06841611996251172,0.9085948158253752,0.0538881309686221,0.05115961800818554,0.9523285661899523,0.12216748768472907,0.05995467931009605,0.020048473631659392,0.04195778229730966,0.04195778229730966,0.04195778229730966,0.057474889810827226,0.048726753093340236,0.04915756525591814,1047000.0,0.0,0.0,621000.0,1047000.0,1047000.0,104844.0,316500.0,69.94922501336184,0.0,0.0,41.48850881881347,69.94922501336184,69.94922501336184,2740.8376963350784,0.0,0.0,1625.65445026178,2740.8376963350784,2740.8376963350784,Canton
102.0,2011,4,1,24,510,12580.0,N,L,7,18,103000,0,0,1,350000,10,89000,60% to 70% of MFI,moderate,19,453000,5722.222222222223,1.0,350000.0,2648.0,632.0,1552.0,464.0,872.0,808.0,968.0,0.0,0.0,0.0,216.0,0.0,96.0,112.0,288.0,0.0,272.0,48.0,80.0,0.0,96.0,440.0,40.0,640.0,272.0,48.0,0.0,1848.0,608.0,32.0,112.0,0.0,48.0,2528.0,120.0,136.0,672.0,656.0,552.0,1304.0,1344.0,13.0,19.0,15.0,17.0,93.0,98.0,17.0,42.0,0.0,0.0,0.006797583081570997,38.89728096676737,0.0,0.0,0.00037764350453172205,132.17522658610272,0.0037764350453172208,33.610271903323266,0.007175226586102719,171.0725075528701,0.00037764350453172205,132.17522658610272,0.1836734693877551,1051.0204081632653,0.0,0.0,0.01020408163265306,3571.4285714285716,0.10204081632653061,908.1632653061224,0.19387755102040816,4622.448979591837,0.01020408163265306,3571.4285714285716,14000US24510010200,md,5529.0,3322.0,1355.0,2763.0,291.0,1185.0,89.0,849.0,66829.0,167.0,81.0,223.0,230100.0,1939.0,2042.0,3322.0,557.0,125.0,524.0,160.0,118.0,53.0,135.0,15291.0,73.0,75.0,127.0,12490.0,,395.0,557.0,"Census Tract 102, Baltimore city, Maryland",1605.0,1355.0,2399.0,160.28932368918188,213.79775868731403,113.07154294991966,0.8317278747742324,0.08759783263094521,0.8745387453874539,0.06568265682656826,0.12324723247232472,0.6690287619841601,0.06712823600240819,0.04480700735367292,0.02788427893997261,0.05033402192078121,0.05033402192078121,0.05033402192078121,0.018330929293763207,0.04748955240545544,0.022210070382050452,113577.67808085443,0.0,385943.56629416556,98139.93542908781,499521.24437502,385943.56629416556,73692.06454820797,253730.3274408214,42.891872387029615,0.0,145.74908092679968,37.061909149957636,188.6409533138293,145.74908092679968,1158.9558987842288,0.0,3938.1996560629136,1001.4279125417123,5097.155554847143,3938.1996560629136,Patterson Park North & East
102.0,2012,4,1,24,510,12580.0,N,L,9,35,138000,0,0,0,0,24,94000,80% to 90% of MFI,middle,35,138000,3942.8571428571427,0.0,0.0,3248.0,780.0,1868.0,600.0,1244.0,1164.0,840.0,0.0,0.0,0.0,128.0,0.0,144.0,48.0,184.0,0.0,208.0,16.0,48.0,0.0,176.0,432.0,64.0,776.0,424.0,600.0,0.0,1980.0,1060.0,8.0,152.0,0.0,48.0,3120.0,128.0,312.0,676.0,760.0,720.0,1368.0,1880.0,26.0,12.0,6.0,18.0,139.0,97.0,101.0,0.0,0.0,3.0,0.010775862068965518,42.48768472906404,0.0,0.0,0.0,0.0,0.007389162561576354,28.940886699507388,0.010775862068965518,42.48768472906404,0.0,0.0,0.36082474226804123,1422.680412371134,0.0,0.0,0.0,0.0,0.24742268041237114,969.0721649484536,0.36082474226804123,1422.680412371134,0.0,0.0,14000US24510010200,md,5526.0,3542.0,1384.0,2586.0,663.0,1145.0,177.0,957.0,71172.0,248.0,120.0,404.0,217400.0,1939.0,2077.0,3542.0,598.0,117.0,576.0,376.0,140.0,91.0,143.0,17222.0,104.0,103.0,226.0,14655.0,,386.0,598.0,"Census Tract 102, Baltimore city, Maryland",1851.0,1384.0,2471.0,176.76803924741188,207.23688678378548,110.49290690838515,0.7300959909655562,0.18718238283455674,0.8273121387283237,0.12789017341040462,0.1791907514450867,0.7490894374747066,0.11405985319028797,0.06448213051179535,0.06160584562958324,0.05665494423066317,0.05665494423066317,0.05665494423066317,0.020799249876295736,0.05132361609228578,0.03697902044509572,147847.18417047188,0.0,0.0,100707.50226104606,147847.18417047188,0.0,76250.57820131032,232912.88288884482,45.51945325445563,0.0,0.0,31.00600439071615,45.51945325445563,0.0,1524.1977749533182,0.0,0.0,1038.2216727942894,1524.1977749533182,0.0,Patterson Park North & East
102.0,2013,4,1,24,510,12580.0,N,L,9,42,330000,0,0,1,251000,33,481000,80% to 90% of MFI,middle,43,581000,7857.142857142857,1.0,251000.0,2932.0,824.0,1580.0,528.0,996.0,808.0,1128.0,0.0,0.0,0.0,160.0,0.0,16.0,48.0,288.0,0.0,320.0,32.0,128.0,0.0,272.0,420.0,32.0,784.0,344.0,72.0,16.0,2144.0,612.0,24.0,120.0,0.0,32.0,2812.0,120.0,240.0,540.0,720.0,608.0,1332.0,1600.0,6.0,22.0,13.0,18.0,115.0,85.0,32.0,50.0,0.0,7.0,0.01432469304229195,112.55115961800819,0.0,0.0,0.00034106412005457026,85.60709413369713,0.011255115961800819,164.0518417462483,0.014665757162346521,198.15825375170533,0.00034106412005457026,85.60709413369713,0.49411764705882355,3882.3529411764707,0.0,0.0,0.011764705882352941,2952.9411764705883,0.38823529411764707,5658.823529411765,0.5058823529411764,6835.294117647059,0.011764705882352941,2952.9411764705883,14000US24510010200,md,2541.0,3890.0,1443.0,2936.0,753.0,1188.0,213.0,1092.0,74038.0,192.0,80.0,500.0,221700.0,1939.0,2364.0,3890.0,688.0,96.0,647.0,540.0,145.0,127.0,122.0,27722.0,99.0,58.0,366.0,14166.0,,442.0,688.0,"Census Tract 102, Baltimore city, Maryland",2350.0,1443.0,2973.0,222.1574704285354,246.95819498586317,125.12315973303616,0.7547557840616966,0.193573264781491,0.8232848232848233,0.14760914760914762,0.13305613305613306,0.7904473595694584,0.12853470437017994,0.060315302191388954,0.0817808430245365,0.031292484544843756,0.031292484544843756,0.031292484544843756,0.021685861811857356,0.05699817244452304,0.055501367633803415,347997.52475247526,0.0,264689.0264026403,507232.7557755776,612686.5511551156,264689.0264026403,78075.88102310232,233791.06435643567,118.68946956087152,0.0,90.27592987811742,172.9988935114521,208.96539943898895,90.27592987811742,4094.088526499709,0.0,3113.9885459134152,5967.444185595031,7208.077072413124,3113.9885459134152,Patterson Park North & East
