respondentID,activity_year,loan_type,action_taken_type,state,county,msa,agency_code,nLenders,nLoans,amtLoans,nLoansToSmallest,amtLoansToSmallest,institution_name,agency,amtLoans_adj,amtLoansToSmallest_adj
9846,2016,4,1,51.0,760.0,40060.0,3,,171,15411000,108,4702000,,FDIC,15411000,4702000
9846,2017,4,1,51.0,760.0,40060.0,3,,241,13354000,169,5197000,,FDIC,13354000,5197000
9889,2014,4,1,51.0,760.0,40060.0,3,,1,720000,1,720000,,FDIC,720000,720000
10363,2004,4,1,51.0,760.0,40060.0,3,,47,7551000,30,4553000,,FDIC,7551000,4553000
10363,2005,4,1,51.0,760.0,40060.0,3,,18,3604000,15,2719000,,FDIC,3604000,2719000
10363,2006,4,1,51.0,760.0,40060.0,3,,13,2374000,9,1820000,,FDIC,2374000,1820000
10363,2007,4,1,51.0,760.0,40060.0,3,,14,1347000,10,772000,,FDIC,1347000,772000
10363,2008,4,1,51.0,760.0,40060.0,3,,11,2834000,8,2159000,,FDIC,2834000,2159000
10363,2009,4,1,51.0,760.0,40060.0,3,,8,2009000,6,1579000,,FDIC,2009000,1579000
10363,2010,4,1,51.0,760.0,40060.0,3,,5,1154000,4,874000,,FDIC,1154000,874000
10363,2011,4,1,51.0,760.0,40060.0,3,,13,2081000,10,1160000,,FDIC,2081000,1160000
10363,2012,4,1,51.0,760.0,40060.0,3,,8,1705000,3,451000,,FDIC,1705000,451000
10363,2013,4,1,51.0,760.0,40060.0,3,,14,1440000,5,489000,,FDIC,1440000,489000
10363,2014,4,1,51.0,760.0,40060.0,3,,16,2939000,7,306000,,FDIC,2939000,306000
10363,2015,4,1,51.0,760.0,40060.0,3,,15,2428000,6,426000,,FDIC,2428000,426000
10363,2016,4,1,51.0,760.0,40060.0,3,,18,4130000,6,895000,,FDIC,4130000,895000
10363,2017,4,1,51.0,760.0,40060.0,3,,20,5272000,12,2834000,,FDIC,5272000,2834000
11063,2004,4,1,51.0,760.0,40060.0,3,,18,3849000,9,1702000,First Citzens Bank & Trust Co (NC),FDIC,3849000,1702000
11063,2005,4,1,51.0,760.0,40060.0,3,,34,5907000,19,3610000,First Citzens Bank & Trust Co (NC),FDIC,5907000,3610000
