rownumber,respondentID,agency_code,activity_year,state,county,msa,census_tract,assessment_area_number,partial_county_indicator,split_county_indicator,population_classification,income_group,loan_indicator
21335,1,1,2017,24,510,12580.0,2804.02,171.0,N,N,L,5,Y
21336,1,1,2017,24,510,12580.0,2804.04,171.0,N,N,L,5,N
21337,1,1,2017,24,510,12580.0,603.0,171.0,N,N,L,6,Y
21338,1,1,2017,24,510,12580.0,604.0,171.0,N,N,L,6,Y
21339,1,1,2017,24,510,12580.0,801.02,171.0,N,N,L,6,Y
21340,1,1,2017,24,510,12580.0,901.0,171.0,N,N,L,6,Y
21341,1,1,2017,24,510,12580.0,906.0,171.0,N,N,L,6,Y
21342,1,1,2017,24,510,12580.0,1205.0,171.0,N,N,L,6,Y
21343,1,1,2017,24,510,12580.0,1503.0,171.0,N,N,L,6,Y
21344,1,1,2017,24,510,12580.0,1504.0,171.0,N,N,L,6,Y
21345,1,1,2017,24,510,12580.0,1505.0,171.0,N,N,L,6,Y
21346,1,1,2017,24,510,12580.0,1507.01,171.0,N,N,L,6,N
21347,1,1,2017,24,510,12580.0,1511.0,171.0,N,N,L,6,Y
21348,1,1,2017,24,510,12580.0,1608.02,171.0,N,N,L,6,N
21349,1,1,2017,24,510,12580.0,1701.0,171.0,N,N,L,6,N
21350,1,1,2017,24,510,12580.0,2006.0,171.0,N,N,L,6,Y
21351,1,1,2017,24,510,12580.0,2101.0,171.0,N,N,L,6,Y
21352,1,1,2017,24,510,12580.0,2301.0,171.0,N,N,L,6,Y
21353,1,1,2017,24,510,12580.0,2502.05,171.0,N,N,L,6,Y
21354,1,1,2017,24,510,12580.0,2502.06,171.0,N,N,L,6,Y
21355,1,1,2017,24,510,12580.0,2503.03,171.0,N,N,L,6,Y
21356,1,1,2017,24,510,12580.0,2603.02,171.0,N,N,L,6,Y
21357,1,1,2017,24,510,12580.0,2604.02,171.0,N,N,L,6,Y
21358,1,1,2017,24,510,12580.0,2608.0,171.0,N,N,L,6,Y
21359,1,1,2017,24,510,12580.0,2610.0,171.0,N,N,L,6,Y
