rownumber,activity_year,loan_type,action_taken_type,state,county,msa,census_tract,split_county_indicator,population_classification,income_group_total,nLoans1,amtLoans1,nLoans100k,amtLoans100k,nLoans250k,amtLoans250k,nLoansToSmallest,amtLoansToSmallest
5001,2017,4,1,24,510,12580.0,1607.0,N,L,5,19,113000,0,0,1,900000,14,1001000
5002,2017,4,1,24,510,12580.0,1608.01,N,L,5,11,37000,0,0,0,0,7,26000
5003,2017,4,1,24,510,12580.0,1703.0,N,L,5,4,111000,1,105000,0,0,4,205000
5004,2017,4,1,24,510,12580.0,1902.0,N,L,5,15,286000,1,200000,0,0,8,69000
5005,2017,4,1,24,510,12580.0,2002.0,N,L,5,23,237000,1,243000,1,327000,7,84000
5006,2017,4,1,24,510,12580.0,2007.01,N,L,5,9,98000,0,0,0,0,7,95000
5007,2017,4,1,24,510,12580.0,2008.0,N,L,5,20,149000,1,200000,0,0,11,91000
5008,2017,4,1,24,510,12580.0,2102.0,N,L,5,72,1101000,4,669000,5,3160000,28,471000
5009,2017,4,1,24,510,12580.0,2501.02,N,L,5,11,108000,0,0,0,0,3,34000
5010,2017,4,1,24,510,12580.0,2502.03,N,L,5,7,117000,1,221000,0,0,5,111000
5011,2017,4,1,24,510,12580.0,2503.01,N,L,5,29,169000,3,508000,5,2585000,15,545000
5012,2017,4,1,24,510,12580.0,2504.01,N,L,5,47,538000,2,500000,0,0,21,293000
5013,2017,4,1,24,510,12580.0,2505.0,N,L,5,94,2002000,9,1654000,8,4056000,22,585000
5014,2017,4,1,24,510,12580.0,2602.01,N,L,5,42,418000,1,150000,0,0,22,240000
5015,2017,4,1,24,510,12580.0,2602.02,N,L,5,13,46000,0,0,0,0,7,15000
5016,2017,4,1,24,510,12580.0,2602.03,N,L,5,28,285000,0,0,1,700000,11,832000
5017,2017,4,1,24,510,12580.0,2603.01,N,L,5,17,152000,4,603000,0,0,17,678000
5018,2017,4,1,24,510,12580.0,2607.0,N,L,5,77,968000,4,582000,1,600000,36,399000
5019,2017,4,1,24,510,12580.0,2804.02,N,L,5,5,131000,0,0,0,0,3,125000
5020,2017,4,1,24,510,12580.0,2804.04,N,L,5,10,130000,0,0,0,0,7,59000
5022,2017,4,1,24,510,12580.0,603.0,N,L,6,13,150000,2,330000,0,0,7,297000
