rownumber,activity_year,loan_type,action_taken_type,state,county,msa,respondentID,agency_code,nLenders,nLoans,amtLoans,nLoansToSmallest,amtLoansToSmallest
19734,2014,4,1,24.0,510.0,12580.0,1461,1,,330,1345000,218,872000
19735,2014,4,1,24.0,510.0,12580.0,24571,1,,1,20000,0,0
19736,2014,4,1,24.0,510.0,12580.0,14807,1,,2,305000,2,305000
19737,2014,4,1,24.0,510.0,12580.0,60143,2,,6,1655000,0,0
19738,2014,4,1,24.0,510.0,12580.0,5649,3,,9,34000,4,17000
19739,2014,4,1,24.0,510.0,12580.0,2652092,2,,7,1856000,3,1177000
19740,2014,4,1,24.0,510.0,12580.0,715115,1,,5,75000,4,5000
19741,2014,4,1,24.0,510.0,12580.0,22381,1,,657,7236000,440,3566000
19742,2014,4,1,24.0,510.0,12580.0,209,1,,6,69000,0,0
19743,2014,4,1,24.0,510.0,12580.0,249,1,,42,10037000,29,5726000
19744,2014,4,1,24.0,510.0,12580.0,11063,3,,3,270000,2,170000
19745,2014,4,1,24.0,510.0,12580.0,33778,3,,26,2600000,5,427000
19746,2014,4,1,24.0,510.0,12580.0,657365,2,,1,420000,1,420000
19747,2014,4,1,24.0,510.0,12580.0,57776,3,,17,4776000,7,1235000
19748,2014,4,1,24.0,510.0,12580.0,715685,1,,5,39000,0,0
19749,2014,4,1,24.0,510.0,12580.0,8,1,,21,714000,0,0
19750,2014,4,1,24.0,510.0,12580.0,501105,2,,201,43679000,91,10309000
19751,2014,4,1,24.0,510.0,12580.0,9889,3,,1,125000,1,125000
19752,2014,4,1,24.0,510.0,12580.0,28178,3,,4,1380000,3,880000
19753,2014,4,1,24.0,510.0,12580.0,34888,3,,1,890000,1,890000
19754,2014,4,1,24.0,510.0,12580.0,1316,1,,357,40007000,183,9243000
19755,2014,4,1,24.0,510.0,12580.0,33539,3,,2,1523000,1,823000
19756,2014,4,1,24.0,510.0,12580.0,34980,3,,1,71000,0,0
19757,2014,4,1,24.0,510.0,12580.0,506922,2,,41,13180000,7,2052000
19758,2014,4,1,24.0,510.0,12580.0,25022,1,,7,680000,4,397000
19759,2014,4,1,24.0,510.0,12580.0,57053,3,,2,364000,1,227000
19760,2014,4,1,24.0,510.0,12580.0,802866,2,,6,865000,2,115000
19761,2014,4,1,24.0,510.0,12580.0,714640,1,,2,50000,2,50000
19762,2014,4,1,24.0,510.0,12580.0,15576,1,,12,725000,2,295000
19763,2014,4,1,24.0,510.0,12580.0,675332,2,,143,17556000,77,4899000
19764,2014,4,1,24.0,510.0,12580.0,682611,2,,39,8424000,7,399000
19765,2014,4,1,24.0,510.0,12580.0,715044,1,,244,855000,0,0
