census_tract,activity_year,income_group_code,nLoans1,amtLoans1,nLoans100k,amtLoans100k,nLoans250k,amtLoans250k,nLoansToSmallest,amtLoansToSmallest,nLoansTotal,amtLoansTotal
1304,2016,5,11,"$122,000 ",0,$0 ,0,$0 ,10,"$115,000 ",11,"$122,000 "
1306,2016,8,123,"$1,696,000 ",2,"$400,000 ",6,"$4,075,000 ",59,"$849,000 ",131,"$6,171,000 "
1307,2016,10,91,"$1,242,000 ",2,"$400,000 ",5,"$2,289,000 ",58,"$1,546,000 ",98,"$3,931,000 "
1308.03,2016,7,24,"$173,000 ",1,"$113,000 ",0,$0 ,14,"$255,000 ",25,"$286,000 "
1308.04,2016,9,59,"$1,251,000 ",4,"$687,000 ",2,"$910,000 ",34,"$1,232,000 ",65,"$2,848,000 "
1308.05,2016,12,8,"$57,000 ",0,$0 ,0,$0 ,6,"$43,000 ",8,"$57,000 "
1308.06,2016,10,70,"$960,000 ",2,"$354,000 ",2,"$715,000 ",32,"$709,000 ",74,"$2,029,000 "
1401,2016,13,50,"$574,000 ",2,"$370,000 ",0,$0 ,31,"$618,000 ",52,"$944,000 "
1402,2016,2,16,"$101,000 ",0,$0 ,0,$0 ,12,"$77,000 ",16,"$101,000 "
1403,2016,5,23,"$106,000 ",0,$0 ,0,$0 ,16,"$70,000 ",23,"$106,000 "
1501,2016,4,16,"$70,000 ",0,$0 ,0,$0 ,8,"$16,000 ",16,"$70,000 "
1502,2016,4,12,"$163,000 ",1,"$250,000 ",1,"$319,000 ",11,"$723,000 ",14,"$732,000 "
1503,2016,5,6,"$13,000 ",0,$0 ,0,$0 ,2,"$2,000 ",6,"$13,000 "
1504,2016,5,28,"$363,000 ",0,$0 ,0,$0 ,10,"$101,000 ",28,"$363,000 "
1505,2016,5,33,"$346,000 ",2,"$400,000 ",1,"$350,000 ",14,"$406,000 ",36,"$1,096,000 "
1506,2016,6,18,"$330,000 ",1,"$125,000 ",1,"$643,000 ",12,"$199,000 ",20,"$1,098,000 "
1507.01,2016,7,7,"$20,000 ",0,$0 ,0,$0 ,7,"$20,000 ",7,"$20,000 "
1507.02,2016,7,7,"$35,000 ",1,"$228,000 ",0,$0 ,6,"$18,000 ",8,"$263,000 "
1508,2016,5,31,"$223,000 ",1,"$192,000 ",1,"$638,000 ",19,"$103,000 ",33,"$1,053,000 "
1509,2016,6,12,"$47,000 ",0,$0 ,0,$0 ,7,"$31,000 ",12,"$47,000 "
1510,2016,5,31,"$285,000 ",0,$0 ,1,"$425,000 ",23,"$585,000 ",32,"$710,000 "
1511,2016,7,52,"$493,000 ",0,$0 ,0,$0 ,35,"$344,000 ",52,"$493,000 "
1512,2016,4,9,"$50,000 ",0,$0 ,0,$0 ,7,"$45,000 ",9,"$50,000 "
1513,2016,5,29,"$358,000 ",1,"$114,000 ",1,"$262,000 ",8,"$62,000 ",31,"$734,000 "
1601,2016,4,10,"$81,000 ",0,$0 ,0,$0 ,8,"$67,000 ",10,"$81,000 "
1602,2016,4,4,"$41,000 ",0,$0 ,0,$0 ,2,"$35,000 ",4,"$41,000 "
1603,2016,4,4,"$24,000 ",0,$0 ,0,$0 ,4,"$24,000 ",4,"$24,000 "
1604,2016,4,7,"$19,000 ",0,$0 ,0,$0 ,2,"$13,000 ",7,"$19,000 "
1605,2016,4,27,"$409,000 ",1,"$150,000 ",1,"$818,000 ",21,"$237,000 ",29,"$1,377,000 "
1606,2016,6,13,"$200,000 ",0,$0 ,0,$0 ,9,"$31,000 ",13,"$200,000 "
1607,2016,4,20,"$76,000 ",0,$0 ,0,$0 ,10,"$43,000 ",20,"$76,000 "
1608.01,2016,7,13,"$48,000 ",0,$0 ,0,$0 ,8,"$29,000 ",13,"$48,000 "
1608.02,2016,5,13,"$79,000 ",0,$0 ,1,"$870,000 ",10,"$913,000 ",14,"$949,000 "
1701,2016,3,36,"$328,000 ",1,"$120,000 ",0,$0 ,23,"$252,000 ",37,"$448,000 "
1702,2016,1,12,"$62,000 ",0,$0 ,0,$0 ,5,"$35,000 ",12,"$62,000 "
1703,2016,3,9,"$106,000 ",1,"$121,000 ",0,$0 ,6,"$81,000 ",10,"$227,000 "
1801,2016,3,10,"$150,000 ",0,$0 ,0,$0 ,3,"$33,000 ",10,"$150,000 "
1802,2016,4,7,"$33,000 ",1,"$143,000 ",0,$0 ,5,"$164,000 ",8,"$176,000 "
1803,2016,5,28,"$538,000 ",1,"$250,000 ",1,"$900,000 ",10,"$114,000 ",30,"$1,688,000 "
1901,2016,3,14,"$110,000 ",1,"$104,000 ",1,"$500,000 ",7,"$193,000 ",16,"$714,000 "
1902,2016,5,14,"$144,000 ",0,$0 ,0,$0 ,10,"$37,000 ",14,"$144,000 "
1903,2016,4,20,"$126,000 ",0,$0 ,0,$0 ,10,"$80,000 ",20,"$126,000 "
2001,2016,5,5,"$60,000 ",0,$0 ,0,$0 ,5,"$60,000 ",5,"$60,000 "
2002,2016,6,24,"$449,000 ",4,"$737,000 ",1,"$300,000 ",7,"$94,000 ",29,"$1,486,000 "
2003,2016,3,13,"$111,000 ",0,$0 ,0,$0 ,4,"$41,000 ",13,"$111,000 "
2004,2016,4,9,"$100,000 ",0,$0 ,2,"$899,000 ",7,"$417,000 ",11,"$999,000 "
2005,2016,4,39,"$644,000 ",1,"$170,000 ",2,"$1,110,000 ",18,"$282,000 ",42,"$1,924,000 "
2006,2016,4,32,"$574,000 ",1,"$200,000 ",3,"$1,390,000 ",14,"$423,000 ",36,"$2,164,000 "
2007.01,2016,6,17,"$88,000 ",0,$0 ,0,$0 ,14,"$82,000 ",17,"$88,000 "
2007.02,2016,6,10,"$49,000 ",0,$0 ,0,$0 ,3,"$18,000 ",10,"$49,000 "
2008,2016,6,28,"$274,000 ",0,$0 ,0,$0 ,18,"$165,000 ",28,"$274,000 "
2101,2016,5,73,"$996,000 ",6,"$1,257,000 ",7,"$4,227,000 ",37,"$863,000 ",86,"$6,480,000 "
2102,2016,6,69,"$1,275,000 ",3,"$609,000 ",8,"$4,428,000 ",25,"$1,262,000 ",80,"$6,312,000 "
2201,2016,13,132,"$2,262,000 ",6,"$904,000 ",8,"$4,396,000 ",69,"$1,400,000 ",146,"$7,562,000 "
2301,2016,6,61,"$544,000 ",2,"$286,000 ",6,"$4,021,000 ",29,"$1,347,000 ",69,"$4,851,000 "
2302,2016,13,59,"$657,000 ",1,"$175,000 ",3,"$1,364,000 ",35,"$1,015,000 ",63,"$2,196,000 "
2303,2016,5,35,"$474,000 ",4,"$754,000 ",0,$0 ,17,"$771,000 ",39,"$1,228,000 "
2401,2016,11,78,"$980,000 ",3,"$533,000 ",1,"$484,000 ",45,"$626,000 ",82,"$1,997,000 "
2402,2016,13,78,"$1,342,000 ",0,$0 ,5,"$2,786,000 ",41,"$2,533,000 ",83,"$4,128,000 "
2403,2016,13,41,"$525,000 ",0,$0 ,1,"$500,000 ",26,"$247,000 ",42,"$1,025,000 "
2404,2016,9,70,"$816,000 ",0,$0 ,0,$0 ,37,"$432,000 ",70,"$816,000 "
2501.01,2016,8,20,"$76,000 ",0,$0 ,0,$0 ,13,"$58,000 ",20,"$76,000 "
2501.02,2016,5,9,"$113,000 ",0,$0 ,0,$0 ,1,"$1,000 ",9,"$113,000 "
2501.03,2016,7,64,"$940,000 ",2,"$395,000 ",0,$0 ,22,"$342,000 ",66,"$1,335,000 "
