Name,OBJECTID,COLOR_2,Population,White,Blk_AfAm,AmInd_AkNa,Asian,NatHaw_Pac,Other_Race,TwoOrMore,Hisp_Lat,Male,Female,AGE0_4,AGE5_11,AGE12_14,AGE15_17,AGE18_24,AGE25_34,AGE35_44,AGE45_64,AGE65ovr,Families,Married,Married18,MaleHH,MaleHH18,FemaleHH,FemaleHH18,Housing,Occupied,Occ_Own,Occ_Rent,Vacant,Vac_Rent,Vac_Sale,Vac_Other,geodataEGI,Pop_dens,Pop_chng,HH_chng,AveHHsize
Biddle Street,17,4,1265.0,8.0,1239.0,0.0,2.0,0,6.0,10.0,10.0,601.0,664.0,97.0,129.0,44.0,66.0,139.0,126.0,155.0,315.0,194.0,314.0,78.0,23.0,39.0,4.0,197.0,84.0,601.0,429.0,208.0,221.0,172.0,45.0,4.0,123.0,0.11285041,11209.5285785,-209.0,-64.0,2.94871997
Blythewood,18,4,72.0,67.0,0.0,0.0,0.0,0,0.0,5.0,3.0,38.0,34.0,2.0,12.0,2.0,5.0,1.0,2.0,12.0,20.0,16.0,21.0,19.0,8.0,2.0,0.0,0.0,0.0,28.0,26.0,26.0,0.0,2.0,0.0,0.0,2.0,0.0758924,948.71155783,44.0,15.0,2.76922988
Bolton Hill,19,4,4974.0,2807.0,1581.0,10.0,361.0,2,53.0,160.0,163.0,2215.0,2759.0,139.0,152.0,49.0,41.0,1496.0,708.0,479.0,1070.0,840.0,613.0,439.0,125.0,48.0,22.0,126.0,54.0,2883.0,2589.0,693.0,1896.0,294.0,177.0,8.0,109.0,0.22772467,21842.1651763,-318.0,-83.0,1.6516
Boyd-Booth,20,2,822.0,25.0,776.0,3.0,1.0,0,0.0,17.0,8.0,408.0,414.0,60.0,94.0,26.0,40.0,98.0,106.0,89.0,232.0,77.0,187.0,39.0,13.0,21.0,9.0,127.0,54.0,430.0,275.0,74.0,201.0,155.0,9.0,10.0,136.0,0.03873237,21222.556703,-164.0,-38.0,2.98908996
Brewers Hill,21,3,1511.0,1249.0,56.0,24.0,39.0,1,104.0,38.0,171.0,737.0,774.0,79.0,56.0,24.0,19.0,129.0,526.0,200.0,309.0,169.0,289.0,182.0,49.0,38.0,16.0,69.0,24.0,754.0,691.0,477.0,214.0,63.0,16.0,18.0,29.0,0.08915617,16947.7876045,17.0,14.0,2.18669009
Bridgeview/Greenlawn,22,1,1975.0,7.0,1943.0,4.0,2.0,0,1.0,18.0,11.0,874.0,1101.0,119.0,162.0,61.0,84.0,183.0,223.0,243.0,663.0,237.0,460.0,141.0,33.0,61.0,19.0,258.0,101.0,927.0,848.0,394.0,454.0,79.0,25.0,7.0,47.0,0.28330317,6971.33021795,-335.0,-47.0,2.32901
Broadway East,23,2,4931.0,117.0,4681.0,15.0,17.0,2,15.0,84.0,65.0,2217.0,2714.0,456.0,478.0,205.0,245.0,547.0,571.0,588.0,1272.0,569.0,1082.0,243.0,85.0,141.0,55.0,698.0,351.0,2617.0,1680.0,642.0,1038.0,937.0,219.0,39.0,679.0,0.3463413,14237.4010178,-1905.0,-523.0,2.87142992
Broening Manor,24,4,1726.0,1062.0,343.0,28.0,18.0,1,231.0,43.0,429.0,847.0,879.0,130.0,133.0,42.0,74.0,167.0,264.0,225.0,464.0,227.0,390.0,213.0,76.0,48.0,22.0,129.0,58.0,706.0,663.0,352.0,311.0,43.0,29.0,8.0,6.0,0.1625869,10615.8612734,56.0,-33.0,2.60331988
Brooklyn,25,4,9996.0,4788.0,4051.0,52.0,148.0,2,502.0,453.0,1149.0,4870.0,5126.0,1055.0,1163.0,378.0,390.0,1132.0,1740.0,1237.0,2242.0,659.0,2279.0,937.0,423.0,320.0,171.0,1022.0,647.0,4343.0,3597.0,1282.0,2315.0,746.0,450.0,103.0,193.0,0.85331795,11714.2736389,867.0,-10.0,2.77870011
Burleith-Leighton,26,1,737.0,5.0,711.0,2.0,0.0,0,0.0,19.0,3.0,330.0,407.0,55.0,57.0,23.0,26.0,70.0,90.0,72.0,211.0,133.0,187.0,55.0,12.0,23.0,4.0,109.0,40.0,327.0,291.0,196.0,95.0,36.0,4.0,3.0,29.0,0.08452922,8718.87755314,33.0,-3.0,2.53264999
Butcher's Hill,27,1,1889.0,1320.0,349.0,45.0,68.0,0,70.0,37.0,130.0,932.0,957.0,123.0,63.0,29.0,28.0,191.0,634.0,328.0,361.0,132.0,351.0,238.0,79.0,22.0,9.0,91.0,34.0,1025.0,888.0,454.0,434.0,137.0,42.0,38.0,57.0,0.07764354,24329.1299953,1.0,28.0,2.10247993
Callaway-Garrison,28,1,1798.0,35.0,1720.0,9.0,7.0,0,7.0,20.0,11.0,819.0,979.0,97.0,130.0,57.0,70.0,197.0,224.0,233.0,516.0,274.0,443.0,174.0,44.0,52.0,16.0,217.0,73.0,769.0,657.0,368.0,289.0,112.0,14.0,9.0,89.0,0.190305,9447.99100767,-165.0,-26.0,2.72603011
Cameron Village,29,3,1435.0,48.0,1353.0,7.0,0.0,1,11.0,15.0,32.0,642.0,793.0,101.0,127.0,41.0,67.0,145.0,215.0,169.0,414.0,156.0,368.0,139.0,41.0,39.0,18.0,190.0,104.0,725.0,630.0,335.0,295.0,95.0,47.0,7.0,41.0,0.10384221,13819.0422776,-158.0,-18.0,2.27143001
Canton,30,4,12192.0,10811.0,485.0,45.0,383.0,11,222.0,235.0,641.0,6017.0,6175.0,512.0,232.0,80.0,88.0,1253.0,4835.0,1738.0,2192.0,1262.0,2126.0,1603.0,387.0,198.0,55.0,325.0,91.0,7336.0,6406.0,3893.0,2513.0,930.0,325.0,212.0,393.0,0.57047339,21371.724141,1305.0,855.0,1.87871003
Canton Industrial Area,31,2,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.48846934,0.0,0.0,0.0,0.0
Carroll - Camden Industrial Area,32,4,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.70301747,0.0,0.0,0.0,0.0
Carroll Park,33,3,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34396398,0.0,0.0,0.0,0.0
Carroll-South Hilton,34,3,1370.0,40.0,1315.0,1.0,1.0,0,1.0,12.0,13.0,630.0,740.0,84.0,131.0,44.0,62.0,142.0,177.0,169.0,367.0,194.0,340.0,101.0,24.0,47.0,15.0,192.0,76.0,625.0,518.0,315.0,203.0,107.0,27.0,11.0,69.0,0.48509858,2824.168215,-182.0,-54.0,2.63513994
Carrollton Ridge,35,5,3645.0,1222.0,2162.0,10.0,80.0,1,65.0,105.0,108.0,1752.0,1893.0,327.0,467.0,173.0,198.0,393.0,484.0,507.0,878.0,218.0,782.0,234.0,108.0,136.0,61.0,412.0,242.0,1988.0,1145.0,322.0,823.0,843.0,176.0,51.0,616.0,0.22287565,16354.4109497,-1180.0,-521.0,3.17118
