OBJECTID,Name,Population
210,Roland Park,5269.0
211,Rosebank,394.0
212,Rosemont,3102.0
213,Rosemont East,1871.0
214,Rosemont Homeowners/Tenants,1460.0
215,Sabina-Mattfeldt,172.0
216,Saint Agnes,671.0
217,Saint Helena,602.0
218,Saint Josephs,2032.0
219,Saint Paul,107.0
220,Sandtown-Winchester,8534.0
222,Seton Business Park,0.0
223,Seton Hill,1249.0
224,Sharp-Leadenhall,822.0
225,Shipley Hill,2110.0
221,South Baltimore,3450.0
226,South Clifton Park,737.0
227,Spring Garden Industrial Area,0.0
228,Stadium Area,0.0
229,Stonewood-Pentwood-Winston,1405.0
230,Taylor Heights,365.0
231,Ten Hills,1416.0
232,The Orchards,494.0
233,Towanda-Grantley,1322.0
234,Tremont,958.0
235,Tuscany-Canterbury,3413.0
236,Union Square,1187.0
237,University Of Maryland,387.0
238,Uplands,820.0
239,Upper Fells Point,3851.0
240,Upton,5746.0
241,Villages Of Homeland,562.3255
242,Violetville,2506.0
243,Wakefield,1772.0
244,Walbrook,2443.0
245,Waltherson,6980.0
246,Washington Hill,1969.0
247,Washington Village/Pigtown,5116.0
248,Waverly,2789.0
249,West Arlington,2041.0
250,West Forest Park,2408.0
251,West Hills,2159.0
252,Westfield,3141.0
253,Westgate,2683.0
254,Westport,1593.0
267,Wilhelm Park,534.0
255,Wilson Park,632.3202
256,Winchester,1420.0
257,Windsor Hills,1552.0
258,Winston-Govans,1341.0
259,Woodberry,1406.0
260,Woodbourne Heights,1795.0
261,Woodbourne-McCabe,908.0
262,Woodmere,2080.0
271,Wrenlane,628.6798
263,Wyman Park,1141.0
264,Wyndhurst,702.0
265,Yale Heights,2500.0
272,York-Homeland,482.6745
