GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median family income in the past 12 months (in 2016 inflation-adjusted dollars),Margin of Error; Median family income in the past 12 months (in 2016 inflation-adjusted dollars)
1400000US24510150800,24510150800,"Census Tract 1508, Baltimore city, Maryland",48148,19380
1400000US24510150900,24510150900,"Census Tract 1509, Baltimore city, Maryland",61419,14055
1400000US24510151000,24510151000,"Census Tract 1510, Baltimore city, Maryland",39012,3328
1400000US24510151100,24510151100,"Census Tract 1511, Baltimore city, Maryland",54597,8261
1400000US24510151200,24510151200,"Census Tract 1512, Baltimore city, Maryland",34281,8392
1400000US24510151300,24510151300,"Census Tract 1513, Baltimore city, Maryland",28085,10089
1400000US24510160100,24510160100,"Census Tract 1601, Baltimore city, Maryland",30094,11064
1400000US24510160200,24510160200,"Census Tract 1602, Baltimore city, Maryland",43382,10533
1400000US24510160300,24510160300,"Census Tract 1603, Baltimore city, Maryland",35357,12416
1400000US24510160400,24510160400,"Census Tract 1604, Baltimore city, Maryland",46932,12019
1400000US24510160500,24510160500,"Census Tract 1605, Baltimore city, Maryland",39871,8342
1400000US24510160600,24510160600,"Census Tract 1606, Baltimore city, Maryland",34913,12891
1400000US24510160700,24510160700,"Census Tract 1607, Baltimore city, Maryland",33750,7008
1400000US24510160801,24510160801,"Census Tract 1608.01, Baltimore city, Maryland",41302,12216
1400000US24510160802,24510160802,"Census Tract 1608.02, Baltimore city, Maryland",48274,4048
1400000US24510170100,24510170100,"Census Tract 1701, Baltimore city, Maryland",34375,27033
1400000US24510170200,24510170200,"Census Tract 1702, Baltimore city, Maryland",25670,8159
1400000US24510170300,24510170300,"Census Tract 1703, Baltimore city, Maryland",43571,6405
1400000US24510180100,24510180100,"Census Tract 1801, Baltimore city, Maryland",16406,5993
1400000US24510180200,24510180200,"Census Tract 1802, Baltimore city, Maryland",37742,19391
1400000US24510180300,24510180300,"Census Tract 1803, Baltimore city, Maryland",-,**
1400000US24510190100,24510190100,"Census Tract 1901, Baltimore city, Maryland",30469,8602
1400000US24510190200,24510190200,"Census Tract 1902, Baltimore city, Maryland",40966,25575
1400000US24510190300,24510190300,"Census Tract 1903, Baltimore city, Maryland",26023,10999
1400000US24510200100,24510200100,"Census Tract 2001, Baltimore city, Maryland",30625,11695
1400000US24510200200,24510200200,"Census Tract 2002, Baltimore city, Maryland",36814,10758
1400000US24510200300,24510200300,"Census Tract 2003, Baltimore city, Maryland",22348,4248
1400000US24510200400,24510200400,"Census Tract 2004, Baltimore city, Maryland",32538,5339
1400000US24510200500,24510200500,"Census Tract 2005, Baltimore city, Maryland",26688,11307
1400000US24510200600,24510200600,"Census Tract 2006, Baltimore city, Maryland",52989,14513
1400000US24510200701,24510200701,"Census Tract 2007.01, Baltimore city, Maryland",41818,8371
1400000US24510200702,24510200702,"Census Tract 2007.02, Baltimore city, Maryland",25444,7249
1400000US24510200800,24510200800,"Census Tract 2008, Baltimore city, Maryland",40938,10790
1400000US24510210100,24510210100,"Census Tract 2101, Baltimore city, Maryland",37396,24054
1400000US24510210200,24510210200,"Census Tract 2102, Baltimore city, Maryland",39500,21831
1400000US24510220100,24510220100,"Census Tract 2201, Baltimore city, Maryland",143050,57418
1400000US24510230100,24510230100,"Census Tract 2301, Baltimore city, Maryland",48246,5520
1400000US24510230200,24510230200,"Census Tract 2302, Baltimore city, Maryland",119744,52510
1400000US24510230300,24510230300,"Census Tract 2303, Baltimore city, Maryland",143929,44995
1400000US24510240100,24510240100,"Census Tract 2401, Baltimore city, Maryland",146222,17307
1400000US24510240200,24510240200,"Census Tract 2402, Baltimore city, Maryland",174844,28209
1400000US24510240300,24510240300,"Census Tract 2403, Baltimore city, Maryland",158182,47249
1400000US24510240400,24510240400,"Census Tract 2404, Baltimore city, Maryland",109063,19034
1400000US24510250101,24510250101,"Census Tract 2501.01, Baltimore city, Maryland",55387,9365
1400000US24510250102,24510250102,"Census Tract 2501.02, Baltimore city, Maryland",49813,11993
1400000US24510250103,24510250103,"Census Tract 2501.03, Baltimore city, Maryland",66279,7105
1400000US24510250203,24510250203,"Census Tract 2502.03, Baltimore city, Maryland",40641,6301
1400000US24510250204,24510250204,"Census Tract 2502.04, Baltimore city, Maryland",15461,2761
1400000US24510250205,24510250205,"Census Tract 2502.05, Baltimore city, Maryland",49093,13066
1400000US24510250206,24510250206,"Census Tract 2502.06, Baltimore city, Maryland",58125,37968
1400000US24510250207,24510250207,"Census Tract 2502.07, Baltimore city, Maryland",38438,14727
1400000US24510250301,24510250301,"Census Tract 2503.01, Baltimore city, Maryland",37321,18404
1400000US24510250303,24510250303,"Census Tract 2503.03, Baltimore city, Maryland",43587,9662
1400000US24510250401,24510250401,"Census Tract 2504.01, Baltimore city, Maryland",36287,7115
1400000US24510250402,24510250402,"Census Tract 2504.02, Baltimore city, Maryland",40880,16349
1400000US24510250500,24510250500,"Census Tract 2505, Baltimore city, Maryland",37983,12651
1400000US24510250600,24510250600,"Census Tract 2506, Baltimore city, Maryland",-,**
1400000US24510260101,24510260101,"Census Tract 2601.01, Baltimore city, Maryland",53750,16177
1400000US24510260102,24510260102,"Census Tract 2601.02, Baltimore city, Maryland",61369,12699
1400000US24510260201,24510260201,"Census Tract 2602.01, Baltimore city, Maryland",42500,25874
1400000US24510260202,24510260202,"Census Tract 2602.02, Baltimore city, Maryland",39790,14181
1400000US24510260203,24510260203,"Census Tract 2602.03, Baltimore city, Maryland",45795,19286
1400000US24510260301,24510260301,"Census Tract 2603.01, Baltimore city, Maryland",45444,7460
1400000US24510260302,24510260302,"Census Tract 2603.02, Baltimore city, Maryland",50172,29243
1400000US24510260303,24510260303,"Census Tract 2603.03, Baltimore city, Maryland",27700,4385
1400000US24510260401,24510260401,"Census Tract 2604.01, Baltimore city, Maryland",36528,7130
1400000US24510260402,24510260402,"Census Tract 2604.02, Baltimore city, Maryland",41989,13083
1400000US24510260403,24510260403,"Census Tract 2604.03, Baltimore city, Maryland",34519,10121
1400000US24510260404,24510260404,"Census Tract 2604.04, Baltimore city, Maryland",36510,9386
1400000US24510260501,24510260501,"Census Tract 2605.01, Baltimore city, Maryland",55313,17254
1400000US24510260604,24510260604,"Census Tract 2606.04, Baltimore city, Maryland",21296,9061
1400000US24510260605,24510260605,"Census Tract 2606.05, Baltimore city, Maryland",35000,9411
1400000US24510260700,24510260700,"Census Tract 2607, Baltimore city, Maryland",44635,21715
1400000US24510260800,24510260800,"Census Tract 2608, Baltimore city, Maryland",41734,10322
1400000US24510260900,24510260900,"Census Tract 2609, Baltimore city, Maryland",105750,25574
1400000US24510261000,24510261000,"Census Tract 2610, Baltimore city, Maryland",55523,23718
1400000US24510261100,24510261100,"Census Tract 2611, Baltimore city, Maryland",143523,20798
1400000US24510270101,24510270101,"Census Tract 2701.01, Baltimore city, Maryland",62917,23844
1400000US24510270102,24510270102,"Census Tract 2701.02, Baltimore city, Maryland",67451,6507
1400000US24510270200,24510270200,"Census Tract 2702, Baltimore city, Maryland",76136,22576
1400000US24510270301,24510270301,"Census Tract 2703.01, Baltimore city, Maryland",73365,11383
1400000US24510270302,24510270302,"Census Tract 2703.02, Baltimore city, Maryland",83438,16924
1400000US24510270401,24510270401,"Census Tract 2704.01, Baltimore city, Maryland",64317,11369
1400000US24510270402,24510270402,"Census Tract 2704.02, Baltimore city, Maryland",84524,21130
1400000US24510270501,24510270501,"Census Tract 2705.01, Baltimore city, Maryland",88250,6914
1400000US24510270502,24510270502,"Census Tract 2705.02, Baltimore city, Maryland",75483,12271
1400000US24510270600,24510270600,"Census Tract 2706, Baltimore city, Maryland",80066,5958
1400000US24510270701,24510270701,"Census Tract 2707.01, Baltimore city, Maryland",43958,13270
1400000US24510270702,24510270702,"Census Tract 2707.02, Baltimore city, Maryland",40521,8407
1400000US24510270703,24510270703,"Census Tract 2707.03, Baltimore city, Maryland",71652,11068
1400000US24510270801,24510270801,"Census Tract 2708.01, Baltimore city, Maryland",51278,15235
1400000US24510270802,24510270802,"Census Tract 2708.02, Baltimore city, Maryland",54184,12423
1400000US24510270803,24510270803,"Census Tract 2708.03, Baltimore city, Maryland",59167,8113
1400000US24510270804,24510270804,"Census Tract 2708.04, Baltimore city, Maryland",67026,21424
1400000US24510270805,24510270805,"Census Tract 2708.05, Baltimore city, Maryland",58918,4261
1400000US24510270901,24510270901,"Census Tract 2709.01, Baltimore city, Maryland",64688,15402
1400000US24510270902,24510270902,"Census Tract 2709.02, Baltimore city, Maryland",62088,4915
1400000US24510270903,24510270903,"Census Tract 2709.03, Baltimore city, Maryland",50250,9909
1400000US24510271001,24510271001,"Census Tract 2710.01, Baltimore city, Maryland",49022,6244
1400000US24510271002,24510271002,"Census Tract 2710.02, Baltimore city, Maryland",45852,13218
1400000US24510271101,24510271101,"Census Tract 2711.01, Baltimore city, Maryland",84511,13251
1400000US24510271102,24510271102,"Census Tract 2711.02, Baltimore city, Maryland",217917,41456
1400000US24510271200,24510271200,"Census Tract 2712, Baltimore city, Maryland",171458,58520
1400000US24510271300,24510271300,"Census Tract 2713, Baltimore city, Maryland",171705,48775
1400000US24510271400,24510271400,"Census Tract 2714, Baltimore city, Maryland",191250,33331
1400000US24510271501,24510271501,"Census Tract 2715.01, Baltimore city, Maryland",138355,13213
1400000US24510271503,24510271503,"Census Tract 2715.03, Baltimore city, Maryland",160750,2610
1400000US24510271600,24510271600,"Census Tract 2716, Baltimore city, Maryland",32862,5901
1400000US24510271700,24510271700,"Census Tract 2717, Baltimore city, Maryland",47377,8804
1400000US24510271801,24510271801,"Census Tract 2718.01, Baltimore city, Maryland",51303,22423
1400000US24510271802,24510271802,"Census Tract 2718.02, Baltimore city, Maryland",29078,2534
1400000US24510271900,24510271900,"Census Tract 2719, Baltimore city, Maryland",67308,27740
1400000US24510272003,24510272003,"Census Tract 2720.03, Baltimore city, Maryland",100521,8568
1400000US24510272004,24510272004,"Census Tract 2720.04, Baltimore city, Maryland",76694,27506
1400000US24510272005,24510272005,"Census Tract 2720.05, Baltimore city, Maryland",68971,9327
1400000US24510272006,24510272006,"Census Tract 2720.06, Baltimore city, Maryland",58060,3790
1400000US24510272007,24510272007,"Census Tract 2720.07, Baltimore city, Maryland",47788,15814
1400000US24510280101,24510280101,"Census Tract 2801.01, Baltimore city, Maryland",50278,12510
1400000US24510280102,24510280102,"Census Tract 2801.02, Baltimore city, Maryland",58482,6229
1400000US24510280200,24510280200,"Census Tract 2802, Baltimore city, Maryland",76771,7529
1400000US24510280301,24510280301,"Census Tract 2803.01, Baltimore city, Maryland",45029,5664
1400000US24510280302,24510280302,"Census Tract 2803.02, Baltimore city, Maryland",43088,7960
1400000US24510280401,24510280401,"Census Tract 2804.01, Baltimore city, Maryland",67536,12756
1400000US24510280402,24510280402,"Census Tract 2804.02, Baltimore city, Maryland",42276,11408
1400000US24510280403,24510280403,"Census Tract 2804.03, Baltimore city, Maryland",57479,29315
1400000US24510280404,24510280404,"Census Tract 2804.04, Baltimore city, Maryland",42283,10340
1400000US24510280500,24510280500,"Census Tract 2805, Baltimore city, Maryland",13644,2849
