,STUSAB,LOGRECNO,B01001_001,B02001_002,B02001_003,B11001_006,B11001A_006,B11001B_006,B15002_011,B15002_028,C15002A_004,C15002A_009,C15002B_004,C15002B_009,B17001_002,B17001A_002,B17001B_002,B19113_001,B19113A_001,B19113B_001,B23025_005,B25003_002,B25003A_002,B25003B_002,B25035_001,B25077_001
4197,md,5524,2153,647,410,76,49,27,217,282,,,,,,,,64951.0,,,123,373,162,129,1954.0,168900.0
4198,md,5525,2147,523,812,141,24,97,135,203,,,,,,,,62765.0,,,67,172,57,93,1958.0,247200.0
4199,md,5526,1353,313,924,142,0,142,91,115,,,,,,,,84076.0,,,68,261,85,156,1976.0,278200.0
4200,md,5527,2147,678,1244,162,30,132,172,117,,,,,,,,77500.0,,,96,238,96,125,1966.0,338300.0
4201,md,5528,1314,393,694,72,6,48,110,131,,,,,,,,62768.0,,,71,313,74,196,1956.0,212100.0
4202,md,5529,2402,285,1709,151,19,126,405,133,,,,,,,,86875.0,,,154,509,68,341,1979.0,240400.0
4203,md,5530,2200,324,1721,240,22,218,183,298,,,,,,,,78325.0,,,17,259,92,148,1968.0,198500.0
4204,md,5531,590,425,133,19,19,0,10,7,,,,,,,,114091.0,,,40,186,145,33,1951.0,320800.0
4205,md,5532,1281,610,616,60,7,53,69,69,,,,,,,,144375.0,,,42,417,243,140,1952.0,317200.0
4206,md,5533,1271,656,417,40,19,21,96,15,,,,,,,,123214.0,,,75,405,246,145,1950.0,340600.0
4207,md,5534,973,153,627,60,8,45,125,69,,,,,,,,55192.0,,,61,85,8,40,1989.0,265200.0
4208,md,5535,2529,112,1797,269,8,261,381,299,,,,,,,,53594.0,,,151,296,16,218,1962.0,205000.0
4209,md,5536,1527,832,462,72,11,54,120,130,,,,,,,,62083.0,,,61,320,110,156,1942.0,193600.0
4210,md,5537,1255,339,488,69,21,38,110,158,,,,,,,,71696.0,,,42,302,102,125,1950.0,217000.0
4211,md,5538,2065,665,763,152,21,113,125,192,,,,,,,,99188.0,,,50,417,155,168,1947.0,260700.0
4212,md,5539,1092,272,288,87,15,47,77,61,,,,,,,,69375.0,,,16,157,59,74,1952.0,234900.0
4213,md,5540,1726,776,595,120,15,105,113,94,,,,,,,,103490.0,,,68,371,206,104,1939.0,285400.0
4214,md,5541,1192,851,130,23,9,9,18,11,,,,,,,,114625.0,,,22,267,180,46,1939.0,322100.0
4215,md,5542,450,69,285,36,0,21,81,62,,,,,,,,,,,97,104,13,73,1939.0,237700.0
4216,md,5543,1659,139,1303,115,14,101,148,255,,,,,,,,45111.0,,,79,10,8,2,1956.0,
4217,md,5544,876,77,365,44,0,6,55,63,,,,,,,,38071.0,,,81,4,0,4,1955.0,
4218,md,5545,1756,94,582,93,4,62,181,119,,,,,,,,61719.0,,,74,0,0,0,1965.0,
4219,md,5546,1321,60,818,105,0,81,191,192,,,,,,,,53777.0,,,72,0,0,0,1964.0,
4220,md,5547,1729,319,989,95,0,81,192,341,,,,,,,,76293.0,,,65,109,19,58,1966.0,258900.0
4221,md,5548,1388,34,1196,87,0,70,135,150,,,,,,,,68092.0,,,47,137,0,95,1982.0,288900.0
4222,md,5549,760,169,487,38,0,38,83,56,,,,,,,,99706.0,,,11,265,75,186,1955.0,268700.0
4223,md,5550,649,11,420,52,0,52,75,148,,,,,,,,39958.0,,,46,223,1,163,1957.0,236400.0
4224,md,5551,1757,227,845,131,39,92,76,201,,,,,,,,63537.0,,,40,244,4,150,1962.0,181900.0
4225,md,5552,3177,197,1762,124,0,124,342,439,,,,,,,,55563.0,,,22,193,36,119,1967.0,279000.0
4226,md,5553,2155,307,421,163,30,20,193,141,,,,,,,,81480.0,,,88,355,96,124,1954.0,263300.0
4227,md,5554,1973,187,397,122,30,16,94,85,,,,,,,,34375.0,,,97,0,0,0,1965.0,
4228,md,5555,2111,235,986,147,0,81,185,168,,,,,,,,60132.0,,,128,286,8,243,1956.0,259300.0
4229,md,5556,2919,204,1225,233,8,85,264,289,,,,,,,,43162.0,,,126,261,13,144,1953.0,271800.0
4230,md,5557,1194,128,610,35,0,35,48,14,,,,,,,,37386.0,,,5,274,39,165,1953.0,254300.0
4231,md,5558,2646,257,2158,153,0,143,231,334,,,,,,,,65395.0,,,187,30,20,10,1972.0,
4232,md,5559,2071,328,607,87,0,48,97,226,,,,,,,,67250.0,,,96,430,110,157,1953.0,230900.0
4233,md,5560,1826,328,156,106,18,9,187,82,,,,,,,,45078.0,,,96,50,32,7,1960.0,
4234,md,5561,2005,189,53,123,19,0,121,107,,,,,,,,25662.0,,,79,54,0,0,1962.0,334100.0
4235,md,5562,1436,124,177,86,0,39,84,48,,,,,,,,36711.0,,,71,0,0,0,1963.0,
4236,md,5563,3179,343,215,161,0,23,135,166,,,,,,,,40996.0,,,66,0,0,0,1964.0,
4237,md,5564,3718,528,0,78,49,0,189,140,,,,,,,,60781.0,,,66,0,0,0,1964.0,
4238,md,5565,1843,338,376,77,7,19,86,176,,,,,,,,51912.0,,,33,70,19,19,1961.0,197300.0
4239,md,5566,1723,286,351,67,22,18,118,74,,,,,,,,53036.0,,,27,270,74,71,1957.0,222800.0
4240,md,5567,1651,112,102,70,7,12,161,208,,,,,,,,63857.0,,,27,273,45,34,1956.0,271900.0
4241,md,5568,2647,355,279,82,0,18,335,110,,,,,,,,49698.0,,,76,298,59,102,1961.0,164500.0
4242,md,5569,3211,233,990,132,11,51,294,188,,,,,,,,109500.0,,,50,433,34,188,1958.0,240700.0
4243,md,5570,1526,195,555,89,0,74,141,166,,,,,,,,93083.0,,,35,376,58,186,1955.0,238800.0
4244,md,5571,2676,337,708,142,22,53,204,196,,,,,,,,60729.0,,,25,485,73,178,1955.0,246900.0
4245,md,5572,1492,208,231,129,7,26,203,148,,,,,,,,39716.0,,,13,212,41,70,1956.0,232000.0
4246,md,5573,2127,708,381,67,23,27,156,165,,,,,,,,74074.0,,,35,445,174,114,1959.0,279200.0
4247,md,5574,1183,172,531,50,0,37,132,171,,,,,,,,76181.0,,,29,207,30,94,1963.0,286100.0
4248,md,5575,1553,234,552,96,23,67,151,73,,,,,,,,67976.0,,,49,150,27,97,1973.0,75000.0
4249,md,5576,1765,148,611,144,9,48,101,134,,,,,,,,40756.0,,,17,0,0,0,1971.0,
4250,md,5577,798,72,334,29,9,6,136,51,,,,,,,,58563.0,,,74,66,9,32,1975.0,75300.0
4251,md,5578,2557,255,1376,121,12,81,175,238,,,,,,,,58140.0,,,101,300,37,182,1973.0,66900.0
4252,md,5579,713,21,361,6,0,6,39,94,,,,,,,,47667.0,,,16,123,12,65,1964.0,83700.0
4253,md,5580,1754,236,946,160,23,108,132,137,,,,,,,,52031.0,,,61,137,41,79,1963.0,72500.0
4254,md,5581,444,123,167,28,6,22,34,26,,,,,,,,87321.0,,,5,54,29,6,1989.0,198900.0
4255,md,5582,1456,347,356,91,4,24,147,118,,,,,,,,82639.0,,,50,209,54,82,1966.0,384600.0
4256,md,5583,3457,426,2039,248,15,163,350,217,,,,,,,,59583.0,,,183,42,13,29,1997.0,200000.0
4257,md,5584,2371,496,875,88,8,54,231,262,,,,,,,,76053.0,,,42,466,147,215,1957.0,216700.0
4258,md,5585,2719,590,437,85,0,31,249,205,,,,,,,,62750.0,,,88,248,105,75,1959.0,244700.0
4259,md,5586,1694,866,333,83,56,4,72,72,,,,,,,,102583.0,,,96,429,309,76,1939.0,317500.0
4260,md,5587,1336,612,406,82,7,44,107,168,,,,,,,,78750.0,,,0,307,190,48,1946.0,304900.0
4261,md,5588,1199,72,500,162,8,110,62,175,,,,,,,,46356.0,,,12,163,8,92,1962.0,206700.0
4262,md,5589,2315,891,970,175,34,133,129,65,,,,,,,,103000.0,,,99,411,286,80,1955.0,306000.0
4263,md,5590,1616,994,383,74,46,28,115,125,,,,,,,,90189.0,,,50,409,275,97,1954.0,320600.0
4264,md,5591,1495,743,393,35,9,26,75,92,,,,,,,,83125.0,,,21,398,192,113,1958.0,317200.0
4265,md,5592,1018,331,311,73,26,42,81,57,,,,,,,,55147.0,,,20,127,48,68,1963.0,214600.0
4266,md,5593,1361,798,186,38,31,0,19,7,,,,,,,,154063.0,,,37,285,216,22,1969.0,637400.0
4267,md,5594,1441,1047,90,44,28,0,59,60,,,,,,,,154732.0,,,26,446,376,31,1948.0,438200.0
4268,md,5595,713,464,91,36,30,6,13,24,,,,,,,,178438.0,,,13,202,175,6,1939.0,448800.0
4269,md,5596,984,609,266,45,21,24,49,116,,,,,,,,108068.0,,,60,242,174,55,1946.0,285300.0
4270,md,5597,1116,547,277,67,21,46,47,73,,,,,,,,102227.0,,,40,281,144,52,1952.0,223900.0
4271,md,5598,3484,1735,482,110,68,29,269,166,,,,,,,,41050.0,,,93,103,58,45,1964.0,235200.0
4272,md,5599,1078,304,240,55,0,31,149,74,,,,,,,,66583.0,,,27,219,80,92,1957.0,206100.0
4273,md,5600,1176,369,501,103,31,44,140,116,,,,,,,,67957.0,,,30,231,61,116,1958.0,196300.0
4274,md,5601,2030,1289,195,81,54,27,79,131,,,,,,,,26413.0,,,97,7,7,0,1964.0,
4275,md,5602,3318,677,1545,147,36,75,208,171,,,,,,,,60921.0,,,64,310,38,246,1979.0,305100.0
4276,md,5603,1125,588,147,54,54,0,88,35,,,,,,,,72143.0,,,57,147,93,18,1963.0,189600.0
4277,md,5604,1235,276,320,66,0,66,30,74,,,,,,,,61118.0,,,48,269,83,89,1961.0,292800.0
4278,md,5605,1123,563,197,27,0,9,67,64,,,,,,,,93355.0,,,20,352,278,48,1972.0,147900.0
4279,md,5606,554,76,437,4,0,4,39,34,,,,,,,,107639.0,,,10,171,52,119,1965.0,310900.0
4280,md,5607,1725,179,1119,123,13,48,205,167,,,,,,,,71420.0,,,87,430,101,260,1966.0,249600.0
4281,md,5608,757,558,174,12,0,12,19,143,,,,,,,,117109.0,,,42,388,337,51,1944.0,165300.0
4282,md,5609,1911,861,721,225,36,138,80,116,,,,,,,,87439.0,,,58,175,175,0,1965.0,224400.0
4283,md,5610,1598,1086,342,110,41,60,70,45,,,,,,,,94167.0,,,31,340,261,70,1965.0,294400.0
4284,md,5611,411,51,303,43,0,43,41,15,,,,,,,,,,,17,156,32,109,1983.0,222900.0
4285,md,5612,2692,321,1868,258,20,221,82,80,,,,,,,,99583.0,,,125,508,125,329,1976.0,195500.0
4286,md,5613,2183,409,1413,132,17,100,150,153,,,,,,,,81364.0,,,97,638,124,371,1985.0,277300.0
4287,md,5614,816,186,439,107,0,93,93,93,,,,,,,,94375.0,,,60,236,82,140,1976.0,196300.0
4288,md,5615,591,176,311,25,9,16,20,46,,,,,,,,97120.0,,,7,196,73,108,1971.0,258700.0
4289,md,5616,3724,160,3075,555,44,479,243,359,,,,,,,,63093.0,,,162,403,41,285,1972.0,139800.0
4290,md,5617,1949,154,1497,225,0,203,177,103,,,,,,,,96250.0,,,91,255,21,180,1977.0,89800.0
4291,md,5618,1414,78,1047,112,0,104,144,89,,,,,,,,112500.0,,,110,454,45,307,1977.0,160300.0
4292,md,5619,3015,182,2082,297,10,226,174,118,,,,,,,,54215.0,,,114,48,24,24,1969.0,417200.0
4293,md,5620,1141,26,768,78,0,35,89,109,,,,,,,,58452.0,,,25,0,0,0,1970.0,
4294,md,5621,2635,736,1366,310,49,198,158,177,,,,,,,,38224.0,,,134,37,0,37,1975.0,
4295,md,5622,1389,499,541,53,0,42,183,155,,,,,,,,52656.0,,,66,0,0,0,1968.0,
4296,md,5623,1817,874,158,55,18,8,138,108,,,,,,,,109018.0,,,62,385,245,18,1959.0,288000.0
4297,md,5624,1433,816,288,66,35,18,110,91,,,,,,,,111000.0,,,20,404,264,64,1959.0,283800.0
4298,md,5625,996,505,285,11,11,0,76,9,,,,,,,,100357.0,,,32,284,190,53,1959.0,343500.0
4299,md,5626,2254,940,414,67,6,45,175,127,,,,,,,,103304.0,,,56,569,250,163,1957.0,245300.0
4300,md,5627,1772,918,327,88,38,10,133,108,,,,,,,,91154.0,,,73,337,234,32,1954.0,249700.0
4301,md,5628,1533,901,258,49,13,36,93,93,,,,,,,,64583.0,,,55,257,185,47,1952.0,270100.0
4302,md,5629,1052,590,219,22,11,11,47,91,,,,,,,,85366.0,,,65,158,103,11,1961.0,273000.0
4303,md,5630,2020,1146,390,20,20,0,84,193,,,,,,,,,,,50,380,308,17,1987.0,261900.0
4304,md,5631,657,432,181,32,9,23,45,43,,,,,,,,63466.0,,,0,156,82,74,1972.0,286100.0
4305,md,5632,3194,1242,665,123,0,87,55,156,,,,,,,,56103.0,,,139,169,111,28,1991.0,330500.0
4306,md,5633,1358,1104,167,63,33,30,17,24,,,,,,,,128828.0,,,92,360,324,19,1942.0,399400.0
4307,md,5634,1126,618,227,51,40,11,82,44,,,,,,,,106563.0,,,45,282,183,68,1939.0,282400.0
4308,md,5635,3148,2311,394,18,8,10,15,10,,,,,,,,86406.0,,,41,62,62,0,1948.0,351600.0
4309,md,5636,4535,2766,548,0,0,0,0,0,,,,,,,,,,,0,0,0,0,,
4310,md,5637,5217,3212,925,0,0,0,0,0,,,,,,,,,,,107,13,13,0,1972.0,
4311,md,5638,1022,513,131,0,0,0,0,35,,,,,,,,111691.0,,,36,78,55,8,1976.0,313300.0
4312,md,5639,1873,514,495,56,0,30,61,64,,,,,,,,56149.0,,,121,7,0,0,1980.0,
4313,md,5640,1564,572,656,5,0,5,57,70,,,,,,,,143589.0,,,129,409,167,152,1966.0,333600.0
4314,md,5641,2094,589,447,68,21,17,214,107,,,,,,,,103819.0,,,46,524,236,139,1960.0,322600.0
4315,md,5642,1555,313,756,49,8,30,89,176,,,,,,,,73875.0,,,31,411,144,156,1971.0,331600.0
4316,md,5643,1984,105,686,19,0,19,86,100,,,,,,,,100968.0,,,68,203,54,51,1967.0,340800.0
4317,md,5644,2013,900,329,25,16,9,128,284,,,,,,,,110360.0,,,42,374,241,62,1966.0,267000.0
4318,md,5645,2193,700,670,153,14,70,155,89,,,,,,,,92172.0,,,49,387,173,92,1986.0,290700.0
4319,md,5646,1517,806,193,27,15,12,215,94,,,,,,,,74306.0,,,44,347,171,50,1966.0,237100.0
4320,md,5647,1768,594,178,22,10,12,60,63,,,,,,,,96955.0,,,237,455,191,54,1979.0,328000.0
4321,md,5648,1715,1078,366,16,11,5,61,179,,,,,,,,116350.0,,,16,415,286,82,1962.0,339700.0
4322,md,5649,1889,1026,403,138,21,32,206,205,,,,,,,,74853.0,,,80,299,263,25,1974.0,221600.0
4323,md,5650,2385,309,1048,58,39,0,81,105,,,,,,,,138947.0,,,34,645,144,262,1995.0,486200.0
4324,md,5651,1973,1132,526,58,38,20,85,159,,,,,,,,78276.0,,,73,516,329,114,1965.0,312400.0
4325,md,5652,1708,151,1152,216,0,187,9,169,,,,,,,,63026.0,,,23,143,71,63,1971.0,384300.0
4326,md,5653,1443,597,472,68,13,55,77,125,,,,,,,,88490.0,,,23,480,236,182,1954.0,
4327,md,5654,1779,1488,65,123,111,0,97,152,,,,,,,,112125.0,,,0,816,729,23,1950.0,209700.0
4328,md,5655,2733,263,1496,121,13,95,330,84,,,,,,,,149643.0,,,171,721,112,462,1993.0,332400.0
4329,md,5656,3686,610,1440,250,27,129,185,234,,,,,,,,80139.0,,,172,283,70,146,1976.0,293800.0
4330,md,5657,654,250,199,11,0,0,78,67,,,,,,,,62813.0,,,2,131,59,31,1964.0,279200.0
4331,md,5658,2691,285,1464,239,28,130,200,281,,,,,,,,58606.0,,,125,310,25,208,1983.0,280200.0
4332,md,5659,1626,208,989,144,11,101,60,126,,,,,,,,78600.0,,,79,304,65,103,1969.0,108600.0
4333,md,5660,1012,735,276,34,0,34,166,153,,,,,,,,67153.0,,,0,330,267,63,1984.0,270700.0
4334,md,5661,2074,1868,206,155,105,50,271,422,,,,,,,,57530.0,,,79,637,573,64,1978.0,208800.0
4335,md,5662,1321,1160,124,54,54,0,278,190,,,,,,,,65125.0,,,39,370,340,30,1978.0,201700.0
4336,md,5663,1441,1160,209,20,20,0,225,117,,,,,,,,77321.0,,,15,314,275,34,1984.0,287500.0
4337,md,5664,2167,1991,151,82,62,20,282,293,,,,,,,,63625.0,,,87,713,694,13,1981.0,226000.0
